Blink Tracking Session: phase1_cycle1_1761458620691
Start Time: 2025-10-26T02:03:40.696245
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T02:03:52.164937, 1, 11.47, 0.332
2025-10-26T02:03:52.736334, 2, 12.04, 0.319
2025-10-26T02:03:53.157019, 3, 12.46, 0.309
2025-10-26T02:03:54.206497, 4, 13.51, 0.297
2025-10-26T02:03:55.169611, 5, 14.47, 0.308
2025-10-26T02:03:56.084271, 6, 15.39, 0.315
2025-10-26T02:03:56.605949, 7, 15.91, 0.321
2025-10-26T02:03:57.005623, 8, 16.31, 0.259
2025-10-26T02:03:57.287074, 9, 16.59, 0.238
2025-10-26T02:03:57.673318, 10, 16.98, 0.317
2025-10-26T02:03:58.083095, 11, 17.39, 0.246
2025-10-26T02:03:59.134690, 12, 18.44, 0.295
2025-10-26T02:03:59.534326, 13, 18.84, 0.283
2025-10-26T02:03:59.933257, 14, 19.24, 0.217
2025-10-26T02:04:00.483411, 15, 19.79, 0.309
2025-10-26T02:04:00.871739, 16, 20.18, 0.326
2025-10-26T02:04:02.736244, 17, 22.04, 0.306
2025-10-26T02:04:03.280135, 18, 22.58, 0.288
2025-10-26T02:04:03.680175, 19, 22.98, 0.264
2025-10-26T02:04:04.207221, 20, 23.51, 0.232
2025-10-26T02:04:04.605503, 21, 23.91, 0.252
2025-10-26T02:04:05.004228, 22, 24.31, 0.230
2025-10-26T02:04:05.406882, 23, 24.71, 0.226
2025-10-26T02:04:06.378363, 24, 25.68, 0.218
2025-10-26T02:04:06.780098, 25, 26.08, 0.237
2025-10-26T02:04:07.280403, 26, 26.59, 0.217
2025-10-26T02:04:07.579222, 27, 26.88, 0.224
2025-10-26T02:04:08.075758, 28, 27.38, 0.230
2025-10-26T02:04:08.733545, 29, 28.04, 0.299
2025-10-26T02:04:09.532948, 30, 28.84, 0.225
2025-10-26T02:04:10.209919, 31, 29.51, 0.263
2025-10-26T02:04:11.132726, 32, 30.44, 0.268
2025-10-26T02:04:11.825043, 33, 31.13, 0.234
2025-10-26T02:04:13.535760, 34, 32.84, 0.552
2025-10-26T02:04:21.811483, 35, 41.12, 0.275
2025-10-26T02:04:22.108944, 36, 41.41, 0.230
2025-10-26T02:04:22.909761, 37, 42.21, 0.242
2025-10-26T02:04:23.794043, 38, 43.1, 0.312
2025-10-26T02:04:24.863681, 39, 44.17, 0.356
2025-10-26T02:04:25.308178, 40, 44.61, 0.219
2025-10-26T02:04:26.197800, 41, 45.5, 0.221
2025-10-26T02:04:26.718479, 42, 46.02, 0.238
2025-10-26T02:04:27.261454, 43, 46.57, 0.276
2025-10-26T02:04:27.935526, 44, 47.24, 0.235
2025-10-26T02:04:28.592747, 45, 47.9, 0.221
2025-10-26T02:04:28.741334, 46, 48.05, 0.253
2025-10-26T02:04:29.397296, 47, 48.7, 0.296
2025-10-26T02:04:30.193144, 48, 49.5, 0.282
2025-10-26T02:04:30.725241, 49, 50.03, 0.246
2025-10-26T02:04:31.539621, 50, 50.84, 0.249
2025-10-26T02:04:31.921364, 51, 51.23, 0.399
2025-10-26T02:04:33.443042, 52, 52.75, 0.300
2025-10-26T02:04:33.618019, 53, 52.92, 0.229
2025-10-26T02:04:35.273538, 54, 54.58, 0.221
2025-10-26T02:04:35.799136, 55, 55.1, 0.340
2025-10-26T02:04:37.138118, 56, 56.44, 0.271
2025-10-26T02:04:40.445101, 57, 59.75, 0.249
2025-10-26T02:04:42.844046, 58, 62.15, 0.224
2025-10-26T02:04:43.297762, 59, 62.6, 0.212
2025-10-26T02:04:44.716846, 60, 64.02, 0.241
2025-10-26T02:05:46.499166, 61, 125.8, 0.215
2025-10-26T02:05:47.643551, 62, 126.95, 0.218
2025-10-26T02:05:47.908360, 63, 127.21, 0.230
2025-10-26T02:05:49.201471, 64, 128.51, 0.264
2025-10-26T02:05:50.090020, 65, 129.39, 0.231
2025-10-26T02:05:51.271375, 66, 130.58, 0.245
2025-10-26T02:05:52.681198, 67, 131.99, 0.301
2025-10-26T02:05:53.802349, 68, 133.11, 0.309
2025-10-26T02:05:55.083435, 69, 134.39, 0.252
2025-10-26T02:05:56.200478, 70, 135.51, 0.231
2025-10-26T02:05:56.600992, 71, 135.91, 0.228
2025-10-26T02:05:57.362074, 72, 136.67, 0.270
2025-10-26T02:05:58.060388, 73, 137.37, 0.250
2025-10-26T02:05:58.963794, 74, 138.27, 0.273
2025-10-26T02:06:00.557620, 75, 139.86, 0.300
2025-10-26T02:06:02.589714, 76, 141.89, 0.236
2025-10-26T02:06:03.260631, 77, 142.57, 0.225
2025-10-26T02:06:03.444826, 78, 142.75, 0.217
2025-10-26T02:06:04.076189, 79, 143.38, 0.371
2025-10-26T02:06:04.287552, 80, 143.59, 0.233
2025-10-26T02:06:04.994762, 81, 144.3, 0.290
2025-10-26T02:06:05.192970, 82, 144.5, 0.253
2025-10-26T02:06:06.251588, 83, 145.56, 0.246
2025-10-26T02:13:41.438297, 84, 600.74, 0.227
2025-10-26T02:19:01.656503, 85, 920.96, 0.212
2025-10-26T02:19:01.832678, 86, 921.14, 0.253
2025-10-26T02:19:24.092703, 87, 943.4, 0.210
2025-10-26T02:19:24.413560, 88, 943.72, 0.228
2025-10-26T03:45:14.091191, 89, 6093.4, 0.219
2025-10-26T03:45:14.513442, 90, 6093.82, 0.266
2025-10-26T03:45:19.179299, 91, 6098.48, 0.214
2025-10-26T03:45:20.971465, 92, 6100.28, 0.296
2025-10-26T03:45:21.580188, 93, 6100.88, 0.262
2025-10-26T03:45:23.603632, 94, 6102.91, 0.238
2025-10-26T03:45:26.207615, 95, 6105.51, 0.234
2025-10-26T03:45:26.666893, 96, 6105.97, 0.238
2025-10-26T03:45:27.115383, 97, 6106.42, 0.224
2025-10-26T03:45:28.031920, 98, 6107.34, 0.285
2025-10-26T03:45:28.917544, 99, 6108.22, 0.228
