Eye Tracking Session: phase1_cycle1_1761462166614
Start Time: 2025-10-26T03:02:46.615768
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T03:02:47.244231,GAZE,707,1004,628,10
2025-10-26T03:02:47.566352,GAZE,406,882,950,20
2025-10-26T03:02:47.904299,GAZE,239,910,1288,30
2025-10-26T03:02:48.239524,GAZE,284,936,1623,40
2025-10-26T03:02:48.571756,GAZE,342,975,1955,50
2025-10-26T03:02:48.909630,GAZE,485,1028,2293,60
2025-10-26T03:02:49.243316,GAZE,416,984,2627,70
2025-10-26T03:02:49.585307,GAZE,410,941,2969,80
2025-10-26T03:02:49.917968,GAZE,422,1016,3302,90
2025-10-26T03:02:50.252348,GAZE,496,1073,3636,100
2025-10-26T03:02:50.573377,GAZE,501,1067,3957,110
2025-10-26T03:02:50.910974,GAZE,297,1080,4295,120
2025-10-26T03:02:51.246390,GAZE,141,1080,4630,130
2025-10-26T03:02:51.580913,GAZE,304,1080,4965,140
2025-10-26T03:02:51.915991,GAZE,400,1080,5300,150
2025-10-26T03:02:52.254067,GAZE,684,1080,5638,160
2025-10-26T03:02:52.591264,GAZE,924,1080,5975,170
2025-10-26T03:02:52.919948,GAZE,896,1080,6304,180
2025-10-26T03:02:53.246289,GAZE,905,1080,6630,190
2025-10-26T03:02:53.578842,GAZE,907,1080,6963,200
2025-10-26T03:02:53.917009,GAZE,829,1080,7301,210
2025-10-26T03:02:54.253305,GAZE,781,1080,7637,220
2025-10-26T03:02:54.587256,GAZE,810,1080,7971,230
2025-10-26T03:02:54.892594,GAZE,903,1080,8276,240
2025-10-26T03:02:55.232174,GAZE,927,1080,8616,250
2025-10-26T03:02:55.570905,GAZE,959,1080,8955,260
2025-10-26T03:02:55.912164,GAZE,943,1080,9296,270
2025-10-26T03:02:56.253222,GAZE,910,1052,9637,280
2025-10-26T03:02:56.589053,GAZE,998,990,9973,290
2025-10-26T03:02:56.888171,GAZE,991,972,10272,300
2025-10-26T03:02:57.261273,GAZE,947,1011,10645,310
2025-10-26T03:02:57.568430,GAZE,665,1020,10952,320
2025-10-26T03:02:57.893993,GAZE,656,1060,11278,330
2025-10-26T03:02:58.234482,GAZE,659,1080,11618,340
2025-10-26T03:02:58.560322,GAZE,550,1080,11944,350
2025-10-26T03:02:58.888181,GAZE,562,1080,12272,360
2025-10-26T03:02:59.228323,GAZE,609,1080,12612,370
2025-10-26T03:02:59.554009,GAZE,691,997,12938,380
2025-10-26T03:02:59.897369,GAZE,575,1058,13281,390
2025-10-26T03:03:00.239761,GAZE,669,1080,13623,400
2025-10-26T03:03:00.568756,GAZE,720,967,13952,410
2025-10-26T03:03:00.908089,GAZE,653,908,14292,420
2025-10-26T03:03:01.234695,GAZE,669,954,14618,430
2025-10-26T03:03:01.550909,BLINK,-1,-1,14935,1
2025-10-26T03:03:01.573585,BLINK,-1,-1,14957,2
2025-10-26T03:03:01.613513,BLINK,-1,-1,14997,3
2025-10-26T03:03:01.636497,BLINK,-1,-1,15020,4
2025-10-26T03:03:01.700079,GAZE,748,942,15084,440
2025-10-26T03:03:02.041142,GAZE,638,1080,15425,450
2025-10-26T03:03:02.369440,GAZE,613,959,15753,460
2025-10-26T03:03:02.708303,GAZE,597,795,16092,470
2025-10-26T03:03:03.031178,GAZE,672,988,16415,480
2025-10-26T03:03:03.372134,GAZE,507,1046,16756,490
2025-10-26T03:03:03.713710,GAZE,694,1050,17097,500
2025-10-26T03:03:04.037115,GAZE,649,1080,17421,510
2025-10-26T03:03:04.375790,GAZE,657,1080,17760,520
2025-10-26T03:03:04.719288,GAZE,699,1080,18103,530
2025-10-26T03:03:05.042561,GAZE,769,1080,18426,540
2025-10-26T03:03:05.381544,GAZE,807,1080,18765,550
2025-10-26T03:03:05.704145,GAZE,815,1080,19088,560
2025-10-26T03:03:06.046766,GAZE,891,1080,19430,570
2025-10-26T03:03:06.371729,GAZE,931,1080,19755,580
2025-10-26T03:03:06.712572,GAZE,1498,814,20096,590
2025-10-26T03:03:07.038541,GAZE,1752,506,20422,600
2025-10-26T03:03:07.365983,GAZE,1673,566,20750,610
2025-10-26T03:03:07.704074,GAZE,1619,614,21088,620
2025-10-26T03:03:08.030697,GAZE,1665,670,21414,630
2025-10-26T03:03:08.372053,GAZE,1659,722,21756,640
2025-10-26T03:03:08.718061,GAZE,1668,731,22102,650
2025-10-26T03:03:09.045967,GAZE,1723,763,22430,660
2025-10-26T03:03:09.358986,GAZE,1743,775,22743,670
2025-10-26T03:03:09.708078,GAZE,1669,717,23092,680
