Eye Tracking Session: phase1_cycle1_1761455996428
Start Time: 2025-10-26T01:19:56.430084
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T01:19:56.719079,GAZE,0,0,289,10
2025-10-26T01:19:57.058229,GAZE,0,0,629,20
2025-10-26T01:19:57.386969,GAZE,159,0,957,30
2025-10-26T01:19:57.729268,GAZE,0,0,1300,40
2025-10-26T01:19:58.070862,GAZE,749,152,1641,50
2025-10-26T01:19:58.393498,GAZE,1625,211,1964,60
2025-10-26T01:19:58.724520,GAZE,647,120,2295,70
2025-10-26T01:19:59.050062,GAZE,1121,0,2620,80
2025-10-26T01:19:59.390438,GAZE,1144,157,2961,90
2025-10-26T01:19:59.702451,BLINK,-1,-1,3273,1
2025-10-26T01:19:59.729910,BLINK,-1,-1,3300,2
2025-10-26T01:19:59.763000,BLINK,-1,-1,3333,3
2025-10-26T01:19:59.793509,BLINK,-1,-1,3364,4
2025-10-26T01:19:59.822501,BLINK,-1,-1,3393,5
2025-10-26T01:19:59.885635,GAZE,1280,877,3456,100
2025-10-26T01:20:00.228015,GAZE,1888,0,3798,110
2025-10-26T01:20:00.565836,GAZE,1920,0,4136,120
2025-10-26T01:20:00.896981,GAZE,1689,143,4467,130
2025-10-26T01:20:01.234870,GAZE,1920,0,4805,140
2025-10-26T01:20:01.570712,GAZE,1920,354,5141,150
2025-10-26T01:20:01.891747,GAZE,1920,245,5462,160
2025-10-26T01:20:02.220008,GAZE,1920,342,5790,170
2025-10-26T01:20:02.563857,GAZE,1920,0,6134,180
2025-10-26T01:20:02.904644,GAZE,1920,359,6475,190
2025-10-26T01:20:03.119531,BLINK,-1,-1,6690,6
2025-10-26T01:20:03.171196,BLINK,-1,-1,6742,7
2025-10-26T01:20:03.200186,BLINK,-1,-1,6771,8
2025-10-26T01:20:03.229674,BLINK,-1,-1,6800,9
2025-10-26T01:20:03.354155,GAZE,1393,287,6925,200
2025-10-26T01:20:03.695892,GAZE,1840,819,7266,210
2025-10-26T01:20:04.007831,GAZE,1920,323,7578,220
2025-10-26T01:20:04.336295,GAZE,1920,25,7907,230
2025-10-26T01:20:04.678130,GAZE,1076,428,8249,240
2025-10-26T01:20:05.003668,GAZE,1199,327,8574,250
2025-10-26T01:20:05.347843,GAZE,1250,293,8918,260
2025-10-26T01:20:05.677280,GAZE,1021,457,9248,270
2025-10-26T01:20:06.019707,GAZE,1457,409,9590,280
2025-10-26T01:20:06.343286,GAZE,1110,782,9914,290
2025-10-26T01:20:06.686206,GAZE,1047,596,10257,300
2025-10-26T01:20:07.027640,GAZE,590,843,10598,310
2025-10-26T01:20:07.354291,GAZE,477,0,10925,320
2025-10-26T01:20:07.675258,GAZE,0,0,11246,330
2025-10-26T01:20:08.016326,GAZE,1346,410,11587,340
2025-10-26T01:20:08.356158,GAZE,1920,0,11927,350
2025-10-26T01:20:08.684243,GAZE,1920,81,12255,360
2025-10-26T01:20:09.024296,GAZE,1920,1032,12595,370
2025-10-26T01:20:09.365732,GAZE,1920,1080,12936,380
2025-10-26T01:20:09.691551,GAZE,1920,191,13262,390
2025-10-26T01:20:10.034644,GAZE,1920,0,13605,400
2025-10-26T01:20:10.345230,GAZE,1920,0,13916,410
2025-10-26T01:20:10.688395,GAZE,1920,0,14259,420
