Blink Tracking Session: phase1_cycle1_1761479896780
Start Time: 2025-10-26T07:58:16.783412
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T07:58:22.185907, 1, 5.4, 0.210
2025-10-26T07:58:22.951026, 2, 6.17, 0.224
2025-10-26T07:58:25.737416, 3, 8.96, 0.211
2025-10-26T07:58:28.308678, 4, 11.53, 0.230
2025-10-26T07:58:30.781472, 5, 14.0, 0.217
2025-10-26T07:58:33.150355, 6, 16.37, 0.223
2025-10-26T07:58:37.448749, 7, 20.67, 0.214
2025-10-26T07:58:40.321578, 8, 23.54, 0.212
2025-10-26T07:58:42.079457, 9, 25.3, 0.216
2025-10-26T07:58:45.071981, 10, 28.29, 0.227
2025-10-26T07:59:11.041714, 11, 54.26, 0.218
2025-10-26T07:59:11.585053, 12, 54.8, 0.212
2025-10-26T07:59:12.987948, 13, 56.21, 0.212
2025-10-26T08:00:21.993460, 14, 125.21, 0.223
2025-10-26T08:00:23.783242, 15, 127.0, 0.223
2025-10-26T08:00:24.452759, 16, 127.67, 0.233
2025-10-26T08:00:28.771051, 17, 131.99, 0.258
2025-10-26T08:00:35.750485, 18, 138.97, 0.258
2025-10-26T08:00:36.828882, 19, 140.05, 0.217
2025-10-26T08:00:37.576951, 20, 140.8, 0.259
2025-10-26T08:00:38.257991, 21, 141.48, 0.212
2025-10-26T08:00:38.540528, 22, 141.76, 0.224
2025-10-26T08:00:40.499842, 23, 143.72, 0.223
2025-10-26T08:00:40.873372, 24, 144.09, 0.212
2025-10-26T08:00:41.852399, 25, 145.07, 0.229
2025-10-26T08:00:42.459044, 26, 145.68, 0.212
2025-10-26T08:00:42.645990, 27, 145.86, 0.220
2025-10-26T08:00:42.971832, 28, 146.19, 0.214
2025-10-26T08:00:43.625215, 29, 146.84, 0.225
2025-10-26T08:00:45.755307, 30, 148.97, 0.246
2025-10-26T08:00:47.152257, 31, 150.37, 0.257
2025-10-26T08:00:49.827054, 32, 153.05, 0.217
2025-10-26T08:00:51.353973, 33, 154.57, 0.211
2025-10-26T08:00:52.237072, 34, 155.46, 0.217
2025-10-26T08:00:53.362102, 35, 156.58, 0.215
2025-10-26T08:00:56.018723, 36, 159.24, 0.265
2025-10-26T08:01:03.757733, 37, 166.98, 0.248
2025-10-26T08:01:12.646394, 38, 175.86, 0.238
2025-10-26T08:01:14.542411, 39, 177.76, 0.214
2025-10-26T08:01:15.043748, 40, 178.26, 0.220
2025-10-26T08:01:22.645201, 41, 185.86, 0.224
2025-10-26T08:01:27.533869, 42, 190.75, 0.270
2025-10-26T08:01:27.956278, 43, 191.17, 0.345
2025-10-26T08:01:29.084974, 44, 192.3, 0.214
2025-10-26T08:01:31.303398, 45, 194.52, 0.211
2025-10-26T08:01:31.519936, 46, 194.74, 0.214
2025-10-26T08:01:31.673303, 47, 194.89, 0.259
2025-10-26T08:01:32.346856, 48, 195.57, 0.227
2025-10-26T08:01:33.882198, 49, 197.1, 0.211
2025-10-26T08:01:36.223229, 50, 199.44, 0.247
2025-10-26T08:01:38.397624, 51, 201.62, 0.215
2025-10-26T08:01:40.238176, 52, 203.46, 0.211
2025-10-26T08:01:45.995062, 53, 209.21, 0.255
2025-10-26T08:01:48.218807, 54, 211.44, 0.250
2025-10-26T08:01:51.308955, 55, 214.53, 0.214
2025-10-26T08:01:51.964303, 56, 215.18, 0.212
2025-10-26T08:01:53.225106, 57, 216.44, 0.211
2025-10-26T08:01:55.367267, 58, 218.59, 0.226
2025-10-26T08:02:02.956967, 59, 226.18, 0.216
