Eye Tracking Session: phase1_cycle1_1761459652790
Start Time: 2025-10-26T02:20:52.792665
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T02:21:06.280915,GAZE,916,444,13489,10
2025-10-26T02:21:06.595365,GAZE,773,513,13803,20
2025-10-26T02:21:06.933019,GAZE,757,440,14141,30
2025-10-26T02:21:07.267667,GAZE,707,444,14476,40
2025-10-26T02:21:07.602894,GAZE,898,35,14811,50
2025-10-26T02:21:07.939292,GAZE,1013,123,15147,60
2025-10-26T02:21:08.276549,GAZE,978,289,15484,70
2025-10-26T02:21:08.610820,GAZE,1211,450,15819,80
2025-10-26T02:21:08.946557,GAZE,1342,587,16154,90
2025-10-26T02:21:09.283968,GAZE,1294,574,16492,100
2025-10-26T02:21:09.609183,GAZE,1237,523,16817,110
2025-10-26T02:21:09.938749,GAZE,510,525,17147,120
2025-10-26T02:21:10.274598,GAZE,311,409,17482,130
2025-10-26T02:21:10.614320,GAZE,394,361,17822,140
2025-10-26T02:21:10.950129,GAZE,470,229,18158,150
2025-10-26T02:21:11.286587,GAZE,716,0,18494,160
2025-10-26T02:21:11.348939,BLINK,-1,-1,18557,1
2025-10-26T02:21:11.380604,BLINK,-1,-1,18588,2
2025-10-26T02:21:11.412830,BLINK,-1,-1,18621,3
2025-10-26T02:21:11.442950,BLINK,-1,-1,18651,4
2025-10-26T02:21:11.479308,BLINK,-1,-1,18687,5
2025-10-26T02:21:11.502963,BLINK,-1,-1,18711,6
2025-10-26T02:21:11.534091,BLINK,-1,-1,18742,7
2025-10-26T02:21:11.848657,GAZE,682,921,19056,170
2025-10-26T02:21:12.175933,GAZE,619,848,19384,180
2025-10-26T02:21:12.518910,GAZE,729,839,19727,190
2025-10-26T02:21:12.845258,GAZE,837,784,20053,200
2025-10-26T02:21:13.172287,GAZE,1304,709,20380,210
2025-10-26T02:21:13.500335,GAZE,1322,649,20708,220
2025-10-26T02:21:13.831251,GAZE,1332,700,21039,230
2025-10-26T02:21:14.170998,GAZE,997,699,21379,240
2025-10-26T02:21:14.511841,GAZE,436,593,21720,250
2025-10-26T02:21:14.842195,GAZE,418,553,22050,260
2025-10-26T02:21:15.091810,BLINK,-1,-1,22300,8
2025-10-26T02:21:15.121577,BLINK,-1,-1,22329,9
2025-10-26T02:21:15.157917,BLINK,-1,-1,22366,10
2025-10-26T02:21:15.248309,BLINK,-1,-1,22456,11
2025-10-26T02:21:15.311126,GAZE,1103,718,22519,270
2025-10-26T02:21:15.651238,GAZE,1920,1080,22859,280
2025-10-26T02:21:15.960506,GAZE,1878,1080,23168,290
2025-10-26T02:21:16.315444,GAZE,1383,851,23523,300
2025-10-26T02:21:16.468757,BLINK,-1,-1,23677,12
2025-10-26T02:21:16.502839,BLINK,-1,-1,23711,13
2025-10-26T02:21:16.533726,BLINK,-1,-1,23742,14
2025-10-26T02:21:16.563329,BLINK,-1,-1,23771,15
2025-10-26T02:21:16.592576,BLINK,-1,-1,23800,16
2025-10-26T02:21:16.627150,BLINK,-1,-1,23835,17
2025-10-26T02:21:16.694054,BLINK,-1,-1,23902,18
2025-10-26T02:21:16.718833,BLINK,-1,-1,23927,19
2025-10-26T02:21:16.781860,BLINK,-1,-1,23990,20
2025-10-26T02:21:16.921653,GAZE,109,1080,24129,310
2025-10-26T02:21:17.027692,BLINK,-1,-1,24236,21
2025-10-26T02:21:17.048425,BLINK,-1,-1,24256,22
2025-10-26T02:21:17.298112,BLINK,-1,-1,24506,23
2025-10-26T02:21:17.329163,BLINK,-1,-1,24537,24
2025-10-26T02:21:17.391228,GAZE,0,1080,24599,320
2025-10-26T02:21:17.735255,GAZE,1257,159,24943,330
2025-10-26T02:21:18.059824,GAZE,518,636,25268,340
2025-10-26T02:21:18.387779,GAZE,360,719,25596,350
2025-10-26T02:21:18.732758,GAZE,68,922,25941,360
2025-10-26T02:21:18.768963,BLINK,-1,-1,25977,25
2025-10-26T02:21:18.795134,BLINK,-1,-1,26003,26
2025-10-26T02:21:19.136165,GAZE,251,503,26344,370
2025-10-26T02:21:19.462750,GAZE,615,387,26671,380
2025-10-26T02:21:19.791908,GAZE,559,807,27000,390
2025-10-26T02:21:20.117876,GAZE,741,1080,27326,400
2025-10-26T02:21:20.369472,BLINK,-1,-1,27577,27
2025-10-26T02:21:20.400291,BLINK,-1,-1,27608,28
2025-10-26T02:21:20.523127,GAZE,1461,671,27731,410
2025-10-26T02:21:20.866139,GAZE,1805,87,28074,420
2025-10-26T02:21:21.194877,GAZE,913,1080,28403,430
2025-10-26T02:21:21.255862,BLINK,-1,-1,28464,29
2025-10-26T02:21:21.380087,BLINK,-1,-1,28588,30
2025-10-26T02:21:21.411023,BLINK,-1,-1,28619,31
2025-10-26T02:21:21.444050,BLINK,-1,-1,28652,32
2025-10-26T02:21:21.473435,BLINK,-1,-1,28681,33
2025-10-26T02:21:21.511913,BLINK,-1,-1,28720,34
2025-10-26T02:21:21.535871,BLINK,-1,-1,28744,35
2025-10-26T02:21:21.568810,BLINK,-1,-1,28777,36
2025-10-26T02:21:21.597771,BLINK,-1,-1,28806,37
2025-10-26T02:21:21.634479,BLINK,-1,-1,28842,38
2025-10-26T02:21:21.659928,BLINK,-1,-1,28868,39
2025-10-26T02:21:21.716573,BLINK,-1,-1,28924,40
2025-10-26T02:21:21.736585,BLINK,-1,-1,28944,41
2025-10-26T02:21:21.784105,BLINK,-1,-1,28992,42
2025-10-26T02:21:21.816893,BLINK,-1,-1,29025,43
2025-10-26T02:21:21.847049,BLINK,-1,-1,29055,44
2025-10-26T02:21:22.067811,GAZE,321,1080,29276,440
2025-10-26T02:21:22.144177,BLINK,-1,-1,29352,45
2025-10-26T02:21:22.451040,GAZE,513,1050,29659,450
2025-10-26T02:21:22.769020,GAZE,781,884,29977,460
2025-10-26T02:21:23.107973,GAZE,1901,0,30316,470
2025-10-26T02:21:23.448019,GAZE,1920,0,30656,480
2025-10-26T02:21:23.718618,BLINK,-1,-1,30926,46
2025-10-26T02:21:23.745712,BLINK,-1,-1,30954,47
2025-10-26T02:21:23.808297,BLINK,-1,-1,31016,48
2025-10-26T02:21:23.869292,GAZE,1920,384,31077,490
2025-10-26T02:21:23.907978,BLINK,-1,-1,31116,49
2025-10-26T02:21:23.932188,BLINK,-1,-1,31140,50
2025-10-26T02:21:23.964085,BLINK,-1,-1,31172,51
2025-10-26T02:21:23.994791,BLINK,-1,-1,31203,52
2025-10-26T02:21:24.053668,BLINK,-1,-1,31262,53
2025-10-26T02:21:24.084824,BLINK,-1,-1,31293,54
2025-10-26T02:21:24.412906,BLINK,-1,-1,31621,55
2025-10-26T02:21:24.453650,BLINK,-1,-1,31661,56
2025-10-26T02:21:24.471604,BLINK,-1,-1,31679,57
2025-10-26T02:21:24.513490,BLINK,-1,-1,31721,58
2025-10-26T02:21:24.533863,BLINK,-1,-1,31742,59
2025-10-26T02:21:24.581100,GAZE,1827,810,31789,500
2025-10-26T02:21:24.917624,BLINK,-1,-1,32125,60
2025-10-26T02:21:24.937507,BLINK,-1,-1,32145,61
2025-10-26T02:21:24.978951,BLINK,-1,-1,32187,62
2025-10-26T02:21:24.999740,BLINK,-1,-1,32208,63
2025-10-26T02:21:25.044100,BLINK,-1,-1,32252,64
2025-10-26T02:21:25.062602,BLINK,-1,-1,32270,65
2025-10-26T02:21:25.094503,BLINK,-1,-1,32302,66
2025-10-26T02:21:25.124994,BLINK,-1,-1,32333,67
