Blink Tracking Session: phase1_cycle1_1761466871763
Start Time: 2025-10-26T04:21:11.770747
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T04:21:15.787363, 1, 4.02, 0.309
2025-10-26T04:21:16.213884, 2, 4.45, 0.217
2025-10-26T04:21:19.924708, 3, 8.16, 0.217
2025-10-26T04:21:21.127163, 4, 9.36, 0.218
2025-10-26T04:21:21.785507, 5, 10.02, 0.227
2025-10-26T04:21:23.380388, 6, 11.61, 0.222
2025-10-26T04:21:25.265657, 7, 13.5, 0.344
2025-10-26T04:21:25.923903, 8, 14.16, 0.310
2025-10-26T04:21:26.618827, 9, 14.85, 0.211
2025-10-26T04:21:27.000096, 10, 15.23, 0.318
2025-10-26T04:21:29.254197, 11, 17.49, 0.215
2025-10-26T04:21:30.504110, 12, 18.74, 0.210
2025-10-26T04:21:30.719711, 13, 18.95, 0.211
2025-10-26T04:21:31.775628, 14, 20.01, 0.217
2025-10-26T04:21:32.055307, 15, 20.29, 0.211
2025-10-26T04:21:32.764292, 16, 21.0, 0.213
2025-10-26T04:21:33.251837, 17, 21.48, 0.283
2025-10-26T04:21:34.113452, 18, 22.34, 0.210
2025-10-26T04:21:34.323407, 19, 22.55, 0.214
2025-10-26T04:21:34.970061, 20, 23.2, 0.284
2025-10-26T04:21:39.556471, 21, 27.79, 0.288
2025-10-26T04:21:42.566264, 22, 30.8, 0.258
2025-10-26T04:21:43.689943, 23, 31.92, 0.211
2025-10-26T04:21:44.172186, 24, 32.4, 0.281
2025-10-26T04:21:48.632073, 25, 36.86, 0.218
2025-10-26T04:21:49.643822, 26, 37.88, 0.212
2025-10-26T04:21:52.055714, 27, 40.29, 0.242
2025-10-26T04:22:01.916431, 28, 50.15, 0.265
2025-10-26T04:22:02.868179, 29, 51.1, 0.222
2025-10-26T04:22:04.323403, 30, 52.55, 0.212
2025-10-26T04:22:05.499354, 31, 53.73, 0.227
2025-10-26T04:22:06.323574, 32, 54.55, 0.212
2025-10-26T04:22:07.488001, 33, 55.72, 0.245
2025-10-26T04:22:09.623398, 34, 57.85, 0.284
2025-10-26T04:22:10.686551, 35, 58.92, 0.220
2025-10-26T04:22:12.025886, 36, 60.26, 0.276
2025-10-26T04:22:13.663007, 37, 61.89, 0.280
2025-10-26T04:22:16.150754, 38, 64.38, 0.261
2025-10-26T04:22:19.883322, 39, 68.11, 0.241
2025-10-26T04:22:20.947983, 40, 69.18, 0.290
2025-10-26T04:22:21.746742, 41, 69.98, 0.264
2025-10-26T04:22:22.687467, 42, 70.92, 0.269
2025-10-26T04:22:23.499372, 43, 71.73, 0.248
2025-10-26T04:22:24.827828, 44, 73.06, 0.233
2025-10-26T04:22:25.396476, 45, 73.63, 0.213
2025-10-26T04:22:25.887766, 46, 74.12, 0.239
2025-10-26T04:22:27.604882, 47, 75.84, 0.273
2025-10-26T04:22:28.406956, 48, 76.64, 0.285
2025-10-26T04:22:29.734206, 49, 77.97, 0.224
2025-10-26T04:22:30.427027, 50, 78.66, 0.298
2025-10-26T04:22:31.230985, 51, 79.46, 0.269
2025-10-26T04:22:32.726963, 52, 80.96, 0.222
2025-10-26T04:22:33.224309, 53, 81.46, 0.257
2025-10-26T04:22:36.368729, 54, 84.6, 0.216
2025-10-26T04:22:40.933087, 55, 89.16, 0.214
2025-10-26T04:22:42.407299, 56, 90.64, 0.213
2025-10-26T04:22:43.605373, 57, 91.84, 0.225
2025-10-26T04:22:44.404257, 58, 92.64, 0.212
2025-10-26T04:22:49.335391, 59, 97.57, 0.210
2025-10-26T04:22:51.998113, 60, 100.23, 0.228
2025-10-26T04:23:06.914280, 61, 115.15, 0.305
2025-10-26T04:23:08.260844, 62, 116.49, 0.293
2025-10-26T04:23:11.342972, 63, 119.57, 0.220
2025-10-26T04:23:12.516375, 64, 120.75, 0.246
2025-10-26T04:23:14.389394, 65, 122.62, 0.220
2025-10-26T04:23:16.031766, 66, 124.26, 0.212
2025-10-26T04:23:16.657689, 67, 124.89, 0.226
2025-10-26T04:23:18.483395, 68, 126.71, 0.211
2025-10-26T04:23:21.727377, 69, 129.96, 0.258
2025-10-26T04:23:24.774655, 70, 133.01, 0.271
2025-10-26T04:23:26.374335, 71, 134.61, 0.221
2025-10-26T04:23:28.391204, 72, 136.62, 0.221
2025-10-26T04:23:29.487919, 73, 137.72, 0.213
2025-10-26T04:23:29.766038, 74, 138.0, 0.211
2025-10-26T04:23:30.965477, 75, 139.2, 0.210
2025-10-26T04:23:31.190348, 76, 139.42, 0.235
2025-10-26T04:23:31.980280, 77, 140.21, 0.222
2025-10-26T04:23:33.445086, 78, 141.68, 0.249
2025-10-26T04:23:35.723314, 79, 143.95, 0.240
2025-10-26T04:23:39.045435, 80, 147.28, 0.212
2025-10-26T04:23:39.571638, 81, 147.8, 0.326
2025-10-26T04:23:39.980595, 82, 148.21, 0.221
2025-10-26T04:23:41.980024, 83, 150.21, 0.231
2025-10-26T04:23:43.984479, 84, 152.22, 0.220
2025-10-26T04:23:45.037521, 85, 153.27, 0.220
2025-10-26T04:23:45.699203, 86, 153.93, 0.213
2025-10-26T04:23:46.776654, 87, 155.01, 0.246
2025-10-26T04:23:48.775401, 88, 157.01, 0.216
2025-10-26T04:23:49.973934, 89, 158.21, 0.227
2025-10-26T04:23:51.302002, 90, 159.53, 0.235
2025-10-26T04:23:52.372450, 91, 160.6, 0.218
2025-10-26T04:23:53.841823, 92, 162.07, 0.239
2025-10-26T04:23:54.638482, 93, 162.87, 0.221
2025-10-26T04:23:56.628970, 94, 164.86, 0.223
2025-10-26T04:23:57.703699, 95, 165.93, 0.222
2025-10-26T04:23:58.647118, 96, 166.88, 0.239
2025-10-26T04:24:00.899222, 97, 169.13, 0.224
2025-10-26T04:24:01.828523, 98, 170.06, 0.211
2025-10-26T04:24:05.030430, 99, 173.26, 0.221
2025-10-26T04:24:05.348726, 100, 173.58, 0.212
2025-10-26T04:24:06.101389, 101, 174.33, 0.306
2025-10-26T04:24:07.463835, 102, 175.7, 0.232
2025-10-26T04:24:09.956401, 103, 178.19, 0.216
2025-10-26T04:24:10.103188, 104, 178.33, 0.244
2025-10-26T04:24:13.291999, 105, 181.52, 0.221
2025-10-26T04:24:13.571039, 106, 181.8, 0.211
2025-10-26T04:24:21.958133, 107, 190.19, 0.231
2025-10-26T04:24:24.889025, 108, 193.12, 0.273
2025-10-26T04:24:28.109193, 109, 196.34, 0.262
2025-10-26T04:24:29.416508, 110, 197.65, 0.298
2025-10-26T04:24:30.082764, 111, 198.31, 0.274
2025-10-26T04:24:31.326944, 112, 199.56, 0.222
2025-10-26T04:24:32.662705, 113, 200.89, 0.381
2025-10-26T04:24:39.141614, 114, 207.37, 0.272
2025-10-26T04:24:40.467146, 115, 208.7, 0.232
2025-10-26T04:24:41.950933, 116, 210.18, 0.255
2025-10-26T04:24:43.938941, 117, 212.17, 0.291
2025-10-26T04:24:45.810424, 118, 214.04, 0.255
2025-10-26T04:24:47.277490, 119, 215.51, 0.253
2025-10-26T04:24:48.345379, 120, 216.58, 0.233
2025-10-26T04:24:48.657098, 121, 216.89, 0.287
2025-10-26T04:24:49.055268, 122, 217.29, 0.235
2025-10-26T04:24:49.673450, 123, 217.9, 0.256
2025-10-26T04:25:11.802048, 124, 240.03, 0.310
2025-10-26T04:25:13.295529, 125, 241.53, 0.211
2025-10-26T04:25:13.843394, 126, 242.07, 0.215
2025-10-26T04:25:15.213970, 127, 243.45, 0.215
2025-10-26T04:25:16.450747, 128, 244.68, 0.343
2025-10-26T04:25:19.395021, 129, 247.63, 0.314
2025-10-26T04:25:21.657594, 130, 249.89, 0.241
2025-10-26T04:25:21.926151, 131, 250.16, 0.274
2025-10-26T04:25:23.378721, 132, 251.61, 0.243
2025-10-26T04:25:24.229213, 133, 252.46, 0.217
2025-10-26T04:25:25.589653, 134, 253.82, 0.255
2025-10-26T04:25:26.071218, 135, 254.3, 0.273
