Blink Tracking Session: phase1_cycle1_1761456759345
Start Time: 2025-10-26T01:32:39.349335
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T01:32:43.272950, 1, 3.92, 0.258
2025-10-26T01:32:43.966395, 2, 4.62, 0.213
2025-10-26T01:32:45.367507, 3, 6.02, 0.244
2025-10-26T01:32:46.030302, 4, 6.68, 0.252
2025-10-26T01:32:46.470413, 5, 7.12, 0.244
2025-10-26T01:32:47.134181, 6, 7.79, 0.255
2025-10-26T01:32:49.156388, 7, 9.81, 0.271
2025-10-26T01:32:50.049178, 8, 10.7, 0.245
2025-10-26T01:32:50.763104, 9, 11.41, 0.292
2025-10-26T01:32:51.056204, 10, 11.71, 0.211
2025-10-26T01:32:52.076250, 11, 12.73, 0.245
2025-10-26T01:32:52.714527, 12, 13.37, 0.223
2025-10-26T01:32:53.447090, 13, 14.1, 0.221
2025-10-26T01:32:54.062008, 14, 14.71, 0.218
2025-10-26T01:32:55.620969, 15, 16.27, 0.228
2025-10-26T01:32:56.533452, 16, 17.19, 0.224
2025-10-26T01:32:57.152743, 17, 17.8, 0.222
2025-10-26T01:32:57.838759, 18, 18.49, 0.224
2025-10-26T01:32:59.159994, 19, 19.81, 0.238
2025-10-26T01:32:59.750501, 20, 20.4, 0.238
2025-10-26T01:33:00.152456, 21, 20.8, 0.245
2025-10-26T01:33:00.948411, 22, 21.6, 0.251
2025-10-26T01:33:01.157943, 23, 21.81, 0.246
2025-10-26T01:33:02.166629, 24, 22.82, 0.282
2025-10-26T01:33:03.014433, 25, 23.67, 0.253
2025-10-26T01:33:03.618762, 26, 24.27, 0.236
2025-10-26T01:33:07.818464, 27, 28.47, 0.283
2025-10-26T01:33:10.743161, 28, 31.39, 0.214
2025-10-26T01:33:20.731839, 29, 41.38, 0.246
2025-10-26T01:33:22.048072, 30, 42.7, 0.215
2025-10-26T01:33:22.598132, 31, 43.25, 0.242
2025-10-26T01:33:25.896171, 32, 46.55, 0.318
2025-10-26T01:33:26.341536, 33, 46.99, 0.263
2025-10-26T01:33:27.285858, 34, 47.94, 0.227
2025-10-26T01:33:28.045558, 35, 48.7, 0.290
2025-10-26T01:33:36.189385, 36, 56.84, 0.251
2025-10-26T01:33:36.585935, 37, 57.24, 0.242
2025-10-26T01:33:37.423691, 38, 58.08, 0.355
2025-10-26T01:33:38.132187, 39, 58.78, 0.216
2025-10-26T01:33:50.374162, 40, 71.03, 0.244
2025-10-26T01:34:02.803702, 41, 83.46, 0.211
2025-10-26T01:34:03.331990, 42, 83.98, 0.255
2025-10-26T01:34:03.780160, 43, 84.43, 0.210
2025-10-26T01:34:04.132181, 44, 84.78, 0.218
2025-10-26T01:34:04.537629, 45, 85.19, 0.214
2025-10-26T01:34:05.062590, 46, 85.71, 0.360
2025-10-26T01:34:05.633075, 47, 86.28, 0.267
2025-10-26T01:34:06.438539, 48, 87.09, 0.401
2025-10-26T01:34:10.137922, 49, 90.79, 0.220
2025-10-26T01:34:10.939563, 50, 91.59, 0.248
2025-10-26T01:34:11.859472, 51, 92.51, 0.235
2025-10-26T01:34:12.931665, 52, 93.58, 0.227
2025-10-26T01:34:13.731373, 53, 94.38, 0.229
2025-10-26T01:34:15.460796, 54, 96.11, 0.230
2025-10-26T01:34:21.064576, 55, 101.72, 0.248
