Blink Tracking Session: phase1_cycle1_1761480445174
Start Time: 2025-10-26T08:07:25.177479
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T08:07:35.634492, 1, 10.46, 0.216
2025-10-26T08:07:58.966730, 2, 33.79, 0.210
2025-10-26T08:07:59.474081, 3, 34.3, 0.220
2025-10-26T08:08:02.169895, 4, 36.99, 0.214
2025-10-26T08:08:06.727975, 5, 41.55, 0.212
2025-10-26T08:08:22.152229, 6, 56.98, 0.212
2025-10-26T08:08:23.039930, 7, 57.86, 0.215
2025-10-26T08:08:24.360116, 8, 59.18, 0.215
2025-10-26T08:08:24.688252, 9, 59.51, 0.215
2025-10-26T08:08:26.665595, 10, 61.49, 0.219
2025-10-26T08:08:27.363055, 11, 62.19, 0.221
2025-10-26T08:08:28.249217, 12, 63.07, 0.214
2025-10-26T08:08:28.529230, 13, 63.35, 0.213
2025-10-26T08:08:29.178954, 14, 64.0, 0.218
2025-10-26T08:08:30.487026, 15, 65.31, 0.218
2025-10-26T08:08:33.054968, 16, 67.88, 0.234
2025-10-26T08:08:39.735488, 17, 74.56, 0.249
2025-10-26T08:08:41.569489, 18, 76.39, 0.295
2025-10-26T08:08:46.032537, 19, 80.86, 0.236
2025-10-26T08:08:47.523328, 20, 82.35, 0.255
2025-10-26T08:08:49.300254, 21, 84.12, 0.283
2025-10-26T08:08:52.015064, 22, 86.84, 0.212
2025-10-26T08:08:52.960530, 23, 87.78, 0.226
2025-10-26T08:08:54.450751, 24, 89.27, 0.211
2025-10-26T08:08:55.957020, 25, 90.78, 0.210
2025-10-26T08:08:58.846839, 26, 93.67, 0.231
2025-10-26T08:08:59.267859, 27, 94.09, 0.212
2025-10-26T08:08:59.737252, 28, 94.56, 0.213
2025-10-26T08:08:59.982069, 29, 94.81, 0.211
2025-10-26T08:09:04.294427, 30, 99.12, 0.217
2025-10-26T08:09:04.480464, 31, 99.3, 0.214
2025-10-26T08:09:05.038823, 32, 99.86, 0.220
2025-10-26T08:09:05.459631, 33, 100.28, 0.215
2025-10-26T08:09:08.581589, 34, 103.41, 0.307
2025-10-26T08:09:09.891628, 35, 104.72, 0.220
2025-10-26T08:09:11.010230, 36, 105.83, 0.217
2025-10-26T08:09:11.427220, 37, 106.25, 0.210
2025-10-26T08:09:12.316226, 38, 107.14, 0.250
2025-10-26T08:09:15.441549, 39, 110.27, 0.219
2025-10-26T08:09:16.460887, 40, 111.28, 0.269
2025-10-26T08:09:19.446363, 41, 114.27, 0.275
2025-10-26T08:09:21.396713, 42, 116.22, 0.224
2025-10-26T08:09:23.026080, 43, 117.85, 0.213
2025-10-26T08:09:25.031848, 44, 119.86, 0.214
2025-10-26T08:09:25.312134, 45, 120.14, 0.217
2025-10-26T08:09:28.523173, 46, 123.35, 0.218
2025-10-26T08:09:30.306654, 47, 125.13, 0.384
2025-10-26T08:09:31.000909, 48, 125.82, 0.216
2025-10-26T08:09:32.019089, 49, 126.84, 0.225
2025-10-26T08:09:32.441773, 50, 127.27, 0.210
2025-10-26T08:09:33.049229, 51, 127.87, 0.210
2025-10-26T08:09:34.315616, 52, 129.14, 0.216
2025-10-26T08:09:48.995849, 53, 143.82, 0.215
2025-10-26T08:09:50.120247, 54, 144.94, 0.233
2025-10-26T08:10:14.419840, 55, 169.24, 0.219
