Blink Tracking Session: phase1_cycle1_1761466190518
Start Time: 2025-10-26T04:09:50.522634
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T04:09:54.596175, 1, 4.07, 0.321
2025-10-26T04:09:55.012334, 2, 4.49, 0.292
2025-10-26T04:09:57.944207, 3, 7.42, 0.239
2025-10-26T04:10:04.474307, 4, 13.95, 0.360
2025-10-26T04:10:08.877020, 5, 18.36, 0.313
2025-10-26T04:10:09.526281, 6, 19.0, 0.271
2025-10-26T04:10:12.323027, 7, 21.8, 0.281
2025-10-26T04:10:15.342409, 8, 24.82, 0.219
2025-10-26T04:10:19.122338, 9, 28.6, 0.366
2025-10-26T04:10:23.405450, 10, 32.88, 0.316
2025-10-26T04:10:26.319602, 11, 35.8, 0.352
2025-10-26T04:10:30.325648, 12, 39.8, 0.314
2025-10-26T04:10:46.304554, 13, 55.78, 0.385
2025-10-26T04:10:49.942574, 14, 59.42, 0.344
2025-10-26T04:10:53.547122, 15, 63.03, 0.329
2025-10-26T04:10:54.159397, 16, 63.64, 0.328
2025-10-26T04:10:54.704424, 17, 64.18, 0.328
2025-10-26T04:10:55.642945, 18, 65.12, 0.246
2025-10-26T04:10:56.438625, 19, 65.92, 0.338
2025-10-26T04:10:56.965454, 20, 66.44, 0.268
2025-10-26T04:10:57.508165, 21, 66.99, 0.305
2025-10-26T04:11:00.833959, 22, 70.31, 0.271
2025-10-26T04:11:01.766182, 23, 71.24, 0.218
2025-10-26T04:11:03.489216, 24, 72.97, 0.363
2025-10-26T04:11:04.831023, 25, 74.31, 0.286
2025-10-26T04:11:07.094365, 26, 76.57, 0.278
2025-10-26T04:11:08.031692, 27, 77.51, 0.246
2025-10-26T04:11:08.689458, 28, 78.17, 0.254
2025-10-26T04:11:10.021480, 29, 79.5, 0.280
2025-10-26T04:11:11.398499, 30, 80.88, 0.250
2025-10-26T04:11:13.662017, 31, 83.14, 0.222
2025-10-26T04:11:19.093583, 32, 88.57, 0.321
2025-10-26T04:11:20.816277, 33, 90.29, 0.286
2025-10-26T04:11:22.014859, 34, 91.49, 0.269
2025-10-26T04:11:24.686933, 35, 94.17, 0.220
2025-10-26T04:11:28.548589, 36, 98.03, 0.216
2025-10-26T04:11:36.416236, 37, 105.89, 0.232
2025-10-26T04:11:44.674389, 38, 114.15, 0.286
2025-10-26T04:11:51.731663, 39, 121.21, 0.211
2025-10-26T04:12:13.057786, 40, 142.54, 0.242
2025-10-26T04:12:48.011255, 41, 177.49, 0.235
2025-10-26T04:13:31.707092, 42, 221.19, 0.337
2025-10-26T04:13:32.484941, 43, 221.96, 0.276
2025-10-26T04:15:11.234131, 44, 320.71, 0.236
2025-10-26T04:15:12.756065, 45, 322.23, 0.228
2025-10-26T04:15:13.508066, 46, 322.99, 0.222
2025-10-26T04:15:14.592449, 47, 324.07, 0.215
2025-10-26T04:15:29.767259, 48, 339.25, 0.214
2025-10-26T04:15:30.566801, 49, 340.05, 0.382
2025-10-26T04:15:55.745754, 50, 365.22, 0.376
2025-10-26T04:15:56.688068, 51, 366.17, 0.240
2025-10-26T04:15:59.215429, 52, 368.69, 0.282
2025-10-26T04:16:01.221832, 53, 370.7, 0.261
2025-10-26T04:16:02.145210, 54, 371.62, 0.253
2025-10-26T04:16:03.481511, 55, 372.96, 0.279
2025-10-26T04:16:05.477322, 56, 374.96, 0.263
2025-10-26T04:16:06.283078, 57, 375.76, 0.257
2025-10-26T04:16:06.992363, 58, 376.47, 0.212
2025-10-26T04:16:11.479760, 59, 380.96, 0.331
2025-10-26T04:16:12.278863, 60, 381.76, 0.284
2025-10-26T04:16:12.945533, 61, 382.42, 0.246
2025-10-26T04:16:13.878263, 62, 383.36, 0.295
2025-10-26T04:16:15.786441, 63, 385.26, 0.274
2025-10-26T04:16:16.581009, 64, 386.06, 0.232
2025-10-26T04:16:18.675823, 65, 388.15, 0.234
2025-10-26T04:16:19.202467, 66, 388.68, 0.339
