Blink Tracking Session: phase1_cycle1_1761456967325
Start Time: 2025-10-26T01:36:07.329533
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T01:36:11.279039, 1, 3.95, 0.216
2025-10-26T01:36:12.749602, 2, 5.42, 0.225
2025-10-26T01:36:14.135350, 3, 6.81, 0.211
2025-10-26T01:36:16.877952, 4, 9.55, 0.211
2025-10-26T01:36:17.404249, 5, 10.08, 0.213
2025-10-26T01:36:18.347691, 6, 11.02, 0.213
2025-10-26T01:36:19.278661, 7, 11.95, 0.230
2025-10-26T01:36:20.335620, 8, 13.01, 0.225
2025-10-26T01:36:21.543268, 9, 14.21, 0.221
2025-10-26T01:36:22.645530, 10, 15.32, 0.224
2025-10-26T01:36:22.879091, 11, 15.55, 0.227
2025-10-26T01:36:23.674697, 12, 16.35, 0.254
2025-10-26T01:36:24.064237, 13, 16.74, 0.225
2025-10-26T01:36:24.749615, 14, 17.42, 0.257
2025-10-26T01:36:25.278237, 15, 17.95, 0.246
2025-10-26T01:36:26.070519, 16, 18.74, 0.258
2025-10-26T01:36:27.676629, 17, 20.35, 0.213
2025-10-26T01:36:28.863761, 18, 21.54, 0.218
2025-10-26T01:36:30.343355, 19, 23.01, 0.219
2025-10-26T01:36:30.733058, 20, 23.4, 0.230
2025-10-26T01:36:31.446212, 21, 24.12, 0.215
2025-10-26T01:36:32.210107, 22, 24.88, 0.239
2025-10-26T01:36:33.014519, 23, 25.69, 0.222
2025-10-26T01:36:37.132683, 24, 29.8, 0.230
2025-10-26T01:36:37.668507, 25, 30.34, 0.242
2025-10-26T01:36:38.461318, 26, 31.13, 0.238
2025-10-26T01:36:39.531750, 27, 32.2, 0.236
2025-10-26T01:36:40.207585, 28, 32.88, 0.213
2025-10-26T01:36:40.467829, 29, 33.14, 0.229
2025-10-26T01:36:41.000690, 30, 33.67, 0.242
2025-10-26T01:36:41.320741, 31, 33.99, 0.212
2025-10-26T01:36:42.071949, 32, 34.74, 0.224
2025-10-26T01:36:43.267547, 33, 35.94, 0.236
2025-10-26T01:36:44.588798, 34, 37.26, 0.221
2025-10-26T01:36:45.664428, 35, 38.34, 0.233
2025-10-26T01:36:47.261148, 36, 39.93, 0.224
2025-10-26T01:36:47.789314, 37, 40.46, 0.223
2025-10-26T01:36:48.340134, 38, 41.01, 0.245
2025-10-26T01:36:49.132632, 39, 41.8, 0.213
2025-10-26T01:36:49.795632, 40, 42.47, 0.210
2025-10-26T01:36:50.189171, 41, 42.86, 0.239
2025-10-26T01:36:51.260348, 42, 43.93, 0.229
2025-10-26T01:36:51.788487, 43, 44.46, 0.307
2025-10-26T01:36:52.738224, 44, 45.41, 0.224
2025-10-26T01:36:53.403863, 45, 46.08, 0.233
2025-10-26T01:36:54.226152, 46, 46.9, 0.215
2025-10-26T01:36:54.847844, 47, 47.52, 0.222
2025-10-26T01:36:57.437607, 48, 50.11, 0.213
2025-10-26T01:36:58.046988, 49, 50.72, 0.241
2025-10-26T01:36:58.725636, 50, 51.4, 0.237
2025-10-26T01:36:59.917000, 51, 52.59, 0.212
2025-10-26T01:37:00.487685, 52, 53.16, 0.211
2025-10-26T01:37:02.455550, 53, 55.13, 0.239
2025-10-26T01:37:04.187666, 54, 56.86, 0.223
2025-10-26T01:37:05.693602, 55, 58.37, 0.601
2025-10-26T01:37:08.444355, 56, 61.12, 0.235
2025-10-26T01:37:11.543093, 57, 64.21, 0.258
2025-10-26T01:37:13.516242, 58, 66.19, 0.352
2025-10-26T01:37:26.075980, 59, 78.75, 0.361
2025-10-26T01:37:28.264918, 60, 80.94, 0.211
2025-10-26T01:37:28.743307, 61, 81.41, 0.218
2025-10-26T01:37:31.627822, 62, 84.3, 0.223
2025-10-26T01:37:38.427701, 63, 91.1, 0.222
2025-10-26T01:37:39.627377, 64, 92.3, 0.211
2025-10-26T01:37:43.099105, 65, 95.77, 0.249
2025-10-26T01:37:44.028055, 66, 96.7, 0.229
2025-10-26T01:37:44.827281, 67, 97.5, 0.217
2025-10-26T01:37:45.361633, 68, 98.03, 0.213
2025-10-26T01:37:50.556238, 69, 103.23, 0.219
2025-10-26T01:37:52.642612, 70, 105.31, 0.210
2025-10-26T01:37:53.000733, 71, 105.67, 0.297
2025-10-26T01:43:20.362703, 72, 433.03, 0.223
2025-10-26T01:43:23.063487, 73, 435.73, 0.267
2025-10-26T01:43:24.071480, 74, 436.74, 0.287
