Eye Tracking Session: phase1_cycle1_1761462553043
Start Time: 2025-10-26T03:09:13.045442
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T03:09:13.676328,GAZE,966,572,631,10
2025-10-26T03:09:13.997433,GAZE,885,705,952,20
2025-10-26T03:09:14.331181,GAZE,588,744,1286,30
2025-10-26T03:09:14.667264,GAZE,610,727,1622,40
2025-10-26T03:09:15.004700,GAZE,725,701,1960,50
2025-10-26T03:09:15.338311,GAZE,685,713,2293,60
2025-10-26T03:09:15.675959,GAZE,709,757,2631,70
2025-10-26T03:09:16.012074,GAZE,693,763,2967,80
2025-10-26T03:09:16.350128,GAZE,702,733,3305,90
2025-10-26T03:09:16.684370,GAZE,706,689,3639,100
2025-10-26T03:09:17.002385,GAZE,671,655,3957,110
2025-10-26T03:09:17.339248,GAZE,631,688,4294,120
2025-10-26T03:09:17.673017,GAZE,632,700,4628,130
2025-10-26T03:09:18.009928,GAZE,670,690,4965,140
2025-10-26T03:09:18.350771,GAZE,641,703,5306,150
2025-10-26T03:09:18.682825,GAZE,564,706,5638,160
2025-10-26T03:09:19.018754,GAZE,403,715,5974,170
2025-10-26T03:09:19.347370,GAZE,447,707,6302,180
2025-10-26T03:09:19.674460,GAZE,477,766,6630,190
2025-10-26T03:09:20.014388,GAZE,477,758,6969,200
2025-10-26T03:09:20.347755,GAZE,549,746,7303,210
2025-10-26T03:09:20.684449,GAZE,517,711,7640,220
2025-10-26T03:09:21.021368,GAZE,523,694,7976,230
2025-10-26T03:09:21.324570,GAZE,556,684,8280,240
2025-10-26T03:09:21.663548,GAZE,607,677,8619,250
2025-10-26T03:09:22.007772,GAZE,547,676,8963,260
2025-10-26T03:09:22.349600,GAZE,551,694,9305,270
2025-10-26T03:09:22.678614,GAZE,500,730,9634,280
2025-10-26T03:09:23.024101,GAZE,551,720,9979,290
2025-10-26T03:09:23.331205,GAZE,603,721,10286,300
2025-10-26T03:09:23.679211,GAZE,613,508,10634,310
2025-10-26T03:09:23.988104,GAZE,612,291,10943,320
2025-10-26T03:09:24.334593,GAZE,636,312,11290,330
2025-10-26T03:09:24.659666,GAZE,632,367,11615,340
2025-10-26T03:09:24.988278,GAZE,658,348,11943,350
2025-10-26T03:09:25.316829,GAZE,616,385,12272,360
2025-10-26T03:09:25.655466,GAZE,657,400,12611,370
2025-10-26T03:09:25.983253,GAZE,763,415,12938,380
2025-10-26T03:09:26.327680,GAZE,862,416,13283,390
2025-10-26T03:09:26.655904,GAZE,746,330,13611,400
2025-10-26T03:09:27.001245,GAZE,591,308,13956,410
