Eye Tracking Session: phase1_cycle1_1761461846587
Start Time: 2025-10-26T02:57:26.586201
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T02:57:27.224904,GAZE,496,1080,638,10
2025-10-26T02:57:27.539337,GAZE,919,1080,953,20
2025-10-26T02:57:27.875281,GAZE,1138,986,1289,30
2025-10-26T02:57:28.208598,GAZE,1392,885,1622,40
2025-10-26T02:57:28.546502,GAZE,1517,880,1960,50
2025-10-26T02:57:28.886034,GAZE,1588,789,2299,60
2025-10-26T02:57:29.216532,GAZE,1581,722,2630,70
2025-10-26T02:57:29.557146,GAZE,1520,787,2970,80
2025-10-26T02:57:29.890192,GAZE,1567,737,3303,90
2025-10-26T02:57:30.227846,GAZE,1357,791,3641,100
2025-10-26T02:57:30.546503,GAZE,1461,782,3960,110
2025-10-26T02:57:30.883041,GAZE,1599,691,4296,120
2025-10-26T02:57:31.214811,GAZE,1706,707,4628,130
2025-10-26T02:57:31.554218,GAZE,1671,732,4968,140
2025-10-26T02:57:31.887384,GAZE,1639,719,5301,150
2025-10-26T02:57:32.224174,GAZE,1570,614,5637,160
2025-10-26T02:57:32.561216,GAZE,1250,550,5975,170
2025-10-26T02:57:32.888730,GAZE,1097,626,6302,180
2025-10-26T02:57:33.214371,GAZE,1254,653,6628,190
2025-10-26T02:57:33.550831,GAZE,1424,579,6964,200
2025-10-26T02:57:33.892705,GAZE,1474,513,7306,210
2025-10-26T02:57:34.229064,GAZE,1534,619,7642,220
2025-10-26T02:57:34.561543,GAZE,1369,674,7975,230
2025-10-26T02:57:34.870229,GAZE,1492,534,8284,240
2025-10-26T02:57:35.212842,GAZE,1359,558,8626,250
2025-10-26T02:57:35.538576,GAZE,1241,561,8952,260
2025-10-26T02:57:35.894814,GAZE,1324,545,9308,270
2025-10-26T02:57:36.215469,GAZE,1401,566,9629,280
2025-10-26T02:57:36.562678,GAZE,1424,503,9976,290
2025-10-26T02:57:36.863515,GAZE,1441,497,10277,300
2025-10-26T02:57:37.219679,GAZE,1253,514,10633,310
2025-10-26T02:57:37.524607,GAZE,1110,703,10938,320
2025-10-26T02:57:37.865338,GAZE,1134,742,11279,330
2025-10-26T02:57:38.210586,GAZE,1218,690,11624,340
2025-10-26T02:57:38.535212,GAZE,1136,670,11949,350
2025-10-26T02:57:38.861385,GAZE,1276,703,12275,360
2025-10-26T02:57:39.202492,GAZE,1258,774,12616,370
2025-10-26T02:57:39.528605,GAZE,1374,762,12942,380
2025-10-26T02:57:39.869957,GAZE,1412,738,13283,390
2025-10-26T02:57:40.209849,GAZE,1384,670,13623,400
2025-10-26T02:57:40.535422,GAZE,1279,627,13949,410
2025-10-26T02:57:40.877037,GAZE,1259,706,14290,420
2025-10-26T02:57:41.214626,GAZE,1305,693,14628,430
2025-10-26T02:57:41.557952,GAZE,1395,671,14971,440
2025-10-26T02:57:41.868679,GAZE,1293,678,15282,450
2025-10-26T02:57:42.205268,GAZE,1678,693,15619,460
2025-10-26T02:57:42.531748,GAZE,1920,548,15945,470
2025-10-26T02:57:42.873500,GAZE,1920,498,16287,480
2025-10-26T02:57:43.213676,GAZE,1920,532,16627,490
2025-10-26T02:57:43.556203,GAZE,1920,545,16970,500
2025-10-26T02:57:43.879544,GAZE,1920,779,17293,510
2025-10-26T02:57:44.223899,GAZE,1913,862,17637,520
2025-10-26T02:57:44.531465,GAZE,1839,908,17945,530
2025-10-26T02:57:44.877020,GAZE,1856,970,18290,540
2025-10-26T02:57:45.213858,GAZE,1920,835,18627,550
2025-10-26T02:57:45.556008,GAZE,1920,825,18969,560
2025-10-26T02:57:45.880496,GAZE,1920,831,19294,570
2025-10-26T02:57:46.224618,GAZE,1906,914,19638,580
2025-10-26T02:57:46.546425,GAZE,1920,790,19960,590
2025-10-26T02:57:46.874949,GAZE,1920,727,20288,600
2025-10-26T02:57:47.211979,GAZE,1395,685,20625,610
2025-10-26T02:57:47.550419,GAZE,972,561,20964,620
2025-10-26T02:57:47.890452,GAZE,1057,400,21304,630
2025-10-26T02:57:48.227277,GAZE,1130,490,21641,640
2025-10-26T02:57:48.546983,GAZE,1137,476,21960,650
2025-10-26T02:57:48.875676,GAZE,1230,333,22289,660
2025-10-26T02:57:49.201711,GAZE,1318,354,22615,670
2025-10-26T02:57:49.560339,GAZE,1241,466,22974,680
2025-10-26T02:57:49.877294,GAZE,1253,421,23291,690
2025-10-26T02:57:50.209242,GAZE,1247,438,23623,700
2025-10-26T02:57:50.545467,GAZE,1299,383,23959,710
2025-10-26T02:57:50.865992,GAZE,1285,387,24279,720
2025-10-26T02:57:51.205129,GAZE,1320,467,24618,730
2025-10-26T02:57:51.542714,GAZE,1354,364,24956,740
2025-10-26T02:57:51.872271,GAZE,1211,410,25286,750
2025-10-26T02:57:52.209721,GAZE,1381,508,25623,760
2025-10-26T02:57:52.546916,GAZE,1184,849,25960,770
2025-10-26T02:57:52.881686,GAZE,1011,933,26295,780
2025-10-26T02:57:53.219507,GAZE,1009,953,26633,790
2025-10-26T02:57:53.551926,GAZE,897,891,26965,800
2025-10-26T02:57:53.873158,GAZE,974,860,27286,810
2025-10-26T02:57:54.209645,GAZE,1150,771,27623,820
2025-10-26T02:57:54.546371,GAZE,1096,806,27960,830
2025-10-26T02:57:54.815518,BLINK,-1,-1,28229,1
2025-10-26T02:57:54.901513,GAZE,777,700,28315,840
2025-10-26T02:57:55.240433,GAZE,1150,0,28654,850
2025-10-26T02:57:55.582727,GAZE,1833,0,28996,860
2025-10-26T02:57:55.925124,GAZE,1747,0,29338,870
2025-10-26T02:57:56.147249,BLINK,-1,-1,29561,2
2025-10-26T02:57:56.178630,BLINK,-1,-1,29592,3
2025-10-26T02:57:56.227858,BLINK,-1,-1,29641,4
2025-10-26T02:57:56.355983,GAZE,1803,0,29769,880
2025-10-26T02:57:56.656593,BLINK,-1,-1,30070,5
2025-10-26T02:57:56.719929,GAZE,1920,271,30133,890
2025-10-26T02:57:57.059434,GAZE,1920,0,30473,900
2025-10-26T02:57:57.088848,BLINK,-1,-1,30502,6
2025-10-26T02:57:57.120323,BLINK,-1,-1,30534,7
2025-10-26T02:57:57.216036,BLINK,-1,-1,30629,8
2025-10-26T02:57:57.246136,BLINK,-1,-1,30659,9
2025-10-26T02:57:57.283352,BLINK,-1,-1,30697,10
2025-10-26T02:57:57.306961,BLINK,-1,-1,30720,11
2025-10-26T02:57:57.365179,BLINK,-1,-1,30778,12
2025-10-26T02:57:57.382844,BLINK,-1,-1,30796,13
2025-10-26T02:57:57.425500,BLINK,-1,-1,30839,14
2025-10-26T02:57:57.445812,BLINK,-1,-1,30859,15
2025-10-26T02:57:57.726211,GAZE,809,1080,31140,910
2025-10-26T02:57:58.049282,GAZE,601,711,31463,920
2025-10-26T02:57:58.112383,BLINK,-1,-1,31526,16
2025-10-26T02:57:58.165228,BLINK,-1,-1,31579,17
2025-10-26T02:57:58.186717,BLINK,-1,-1,31600,18
2025-10-26T02:57:58.226782,BLINK,-1,-1,31640,19
2025-10-26T02:57:58.249169,BLINK,-1,-1,31662,20
2025-10-26T02:57:58.287501,BLINK,-1,-1,31701,21
2025-10-26T02:57:58.327079,BLINK,-1,-1,31740,22
2025-10-26T02:57:59.288364,GAZE,0,869,32702,930
2025-10-26T02:57:59.317283,BLINK,-1,-1,32731,23
2025-10-26T02:57:59.359590,BLINK,-1,-1,32773,24
2025-10-26T02:57:59.380318,BLINK,-1,-1,32794,25
2025-10-26T02:57:59.425897,BLINK,-1,-1,32839,26
2025-10-26T02:57:59.555628,BLINK,-1,-1,32969,27
2025-10-26T02:57:59.580704,BLINK,-1,-1,32994,28
2025-10-26T02:57:59.611972,BLINK,-1,-1,33025,29
2025-10-26T02:58:01.762505,GAZE,1050,0,35176,940
2025-10-26T02:58:01.795222,BLINK,-1,-1,35209,30
2025-10-26T02:58:02.194658,GAZE,1920,0,35608,950
2025-10-26T02:58:02.503018,GAZE,1920,0,35916,960
2025-10-26T02:58:02.830324,GAZE,1920,0,36244,970
2025-10-26T02:58:03.168606,GAZE,1920,0,36582,980
2025-10-26T02:58:03.234099,BLINK,-1,-1,36647,31
2025-10-26T02:58:03.262074,BLINK,-1,-1,36675,32
2025-10-26T02:58:03.298718,BLINK,-1,-1,36712,33
2025-10-26T02:58:03.325167,BLINK,-1,-1,36738,34
2025-10-26T02:58:03.378590,BLINK,-1,-1,36792,35
2025-10-26T02:58:03.402068,BLINK,-1,-1,36815,36
2025-10-26T02:58:03.438662,BLINK,-1,-1,36852,37
2025-10-26T02:58:03.464620,BLINK,-1,-1,36878,38
2025-10-26T02:58:03.506929,BLINK,-1,-1,36920,39
2025-10-26T02:58:03.526924,BLINK,-1,-1,36940,40
2025-10-26T02:58:03.567629,BLINK,-1,-1,36981,41
