Eye Tracking Session: phase1_cycle1_1761456191476
Start Time: 2025-10-26T01:23:11.478173
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T01:23:11.653822,BLINK,-1,-1,176,1
2025-10-26T01:23:11.677758,BLINK,-1,-1,200,2
2025-10-26T01:23:11.715743,BLINK,-1,-1,238,3
2025-10-26T01:23:11.738014,BLINK,-1,-1,260,4
2025-10-26T01:23:11.782461,BLINK,-1,-1,305,5
2025-10-26T01:23:11.956224,GAZE,975,500,479,10
2025-10-26T01:23:12.312795,GAZE,474,376,835,20
2025-10-26T01:23:12.658356,GAZE,118,245,1181,30
2025-10-26T01:23:12.965432,GAZE,302,372,1488,40
2025-10-26T01:23:13.279065,GAZE,693,151,1801,50
2025-10-26T01:23:13.618235,GAZE,608,233,2141,60
2025-10-26T01:23:13.945255,GAZE,814,201,2468,70
2025-10-26T01:23:14.288469,GAZE,713,724,2811,80
2025-10-26T01:23:14.629746,GAZE,813,570,3152,90
2025-10-26T01:23:14.954991,GAZE,778,590,3477,100
2025-10-26T01:23:15.279289,GAZE,619,390,3802,110
2025-10-26T01:23:15.620019,GAZE,1142,529,4142,120
2025-10-26T01:23:15.942556,GAZE,311,281,4465,130
2025-10-26T01:23:16.286047,GAZE,0,192,4808,140
2025-10-26T01:23:16.626728,GAZE,0,151,5149,150
2025-10-26T01:23:16.951347,GAZE,63,147,5474,160
2025-10-26T01:23:17.290438,GAZE,0,100,5813,170
2025-10-26T01:23:17.636720,GAZE,0,15,6159,180
2025-10-26T01:23:17.963836,GAZE,0,22,6486,190
2025-10-26T01:23:18.200131,BLINK,-1,-1,6722,6
2025-10-26T01:23:18.226488,BLINK,-1,-1,6749,7
2025-10-26T01:23:18.260261,BLINK,-1,-1,6783,8
2025-10-26T01:23:18.288490,BLINK,-1,-1,6811,9
2025-10-26T01:23:18.428631,GAZE,0,537,6951,200
2025-10-26T01:23:18.770277,GAZE,0,484,7293,210
2025-10-26T01:23:19.108093,GAZE,0,674,7630,220
2025-10-26T01:23:19.396036,BLINK,-1,-1,7918,10
2025-10-26T01:23:19.419842,BLINK,-1,-1,7942,11
2025-10-26T01:23:19.500609,GAZE,1238,918,8023,230
2025-10-26T01:23:19.841529,GAZE,626,467,8364,240
2025-10-26T01:23:20.155599,GAZE,570,665,8678,250
2025-10-26T01:23:20.495392,GAZE,1036,508,9018,260
2025-10-26T01:23:20.834945,GAZE,813,551,9357,270
2025-10-26T01:23:21.177003,GAZE,462,154,9699,280
2025-10-26T01:23:21.502759,GAZE,471,25,10025,290
2025-10-26T01:23:21.813754,GAZE,397,36,10336,300
2025-10-26T01:23:22.154945,GAZE,79,89,10677,310
2025-10-26T01:23:22.497820,GAZE,44,220,11020,320
2025-10-26T01:23:22.825915,GAZE,21,295,11348,330
2025-10-26T01:23:23.167672,GAZE,325,91,11690,340
2025-10-26T01:23:23.504850,GAZE,283,100,12027,350
2025-10-26T01:23:23.817168,GAZE,100,214,12340,360
2025-10-26T01:23:24.099841,BLINK,-1,-1,12622,12
2025-10-26T01:23:24.127252,BLINK,-1,-1,12650,13
2025-10-26T01:23:24.159058,BLINK,-1,-1,12681,14
2025-10-26T01:23:24.189760,BLINK,-1,-1,12712,15
2025-10-26T01:23:24.221165,BLINK,-1,-1,12744,16
2025-10-26T01:23:24.277884,BLINK,-1,-1,12800,17
2025-10-26T01:23:24.304753,BLINK,-1,-1,12827,18
2025-10-26T01:23:24.331923,BLINK,-1,-1,12854,19
2025-10-26T01:23:24.360564,BLINK,-1,-1,12883,20
2025-10-26T01:23:24.392565,BLINK,-1,-1,12915,21
2025-10-26T01:23:24.422080,BLINK,-1,-1,12944,22
2025-10-26T01:23:24.454880,BLINK,-1,-1,12977,23
2025-10-26T01:23:24.488663,BLINK,-1,-1,13011,24
2025-10-26T01:23:24.517471,BLINK,-1,-1,13040,25
2025-10-26T01:23:24.550615,BLINK,-1,-1,13073,26
2025-10-26T01:23:24.581738,BLINK,-1,-1,13104,27
2025-10-26T01:23:24.617024,BLINK,-1,-1,13139,28
2025-10-26T01:23:24.681833,BLINK,-1,-1,13204,29
2025-10-26T01:23:24.707847,BLINK,-1,-1,13230,30
2025-10-26T01:23:24.739129,BLINK,-1,-1,13261,31
2025-10-26T01:23:24.769784,BLINK,-1,-1,13292,32
2025-10-26T01:23:24.803460,BLINK,-1,-1,13326,33
2025-10-26T01:23:24.832242,BLINK,-1,-1,13355,34
2025-10-26T01:23:24.926190,GAZE,1428,1000,13449,370
2025-10-26T01:23:24.956306,BLINK,-1,-1,13479,35
2025-10-26T01:23:25.092761,BLINK,-1,-1,13615,36
2025-10-26T01:23:25.110210,BLINK,-1,-1,13633,37
2025-10-26T01:23:25.141615,BLINK,-1,-1,13664,38
2025-10-26T01:23:25.392328,GAZE,1372,785,13915,380
2025-10-26T01:23:25.686374,BLINK,-1,-1,14209,39
2025-10-26T01:23:25.717956,BLINK,-1,-1,14240,40
2025-10-26T01:23:25.753083,BLINK,-1,-1,14275,41
2025-10-26T01:23:25.778292,BLINK,-1,-1,14301,42
2025-10-26T01:23:25.840591,GAZE,777,844,14363,390
2025-10-26T01:23:26.184259,GAZE,766,926,14707,400
2025-10-26T01:23:26.513667,GAZE,1309,512,15036,410
2025-10-26T01:23:26.856350,GAZE,1198,514,15379,420
2025-10-26T01:23:27.182000,GAZE,939,373,15704,430
2025-10-26T01:23:27.524214,GAZE,764,374,16047,440
2025-10-26T01:23:27.850303,GAZE,1411,276,16373,450
2025-10-26T01:23:28.191697,GAZE,1196,12,16714,460
2025-10-26T01:23:28.532969,GAZE,1919,400,17055,470
2025-10-26T01:23:28.852961,GAZE,1837,506,17375,480
2025-10-26T01:23:29.180265,GAZE,1919,375,17703,490
2025-10-26T01:23:29.519874,GAZE,1919,496,18042,500
2025-10-26T01:23:29.860488,GAZE,1889,561,18383,510
2025-10-26T01:23:30.041006,BLINK,-1,-1,18563,43
2025-10-26T01:23:30.060525,BLINK,-1,-1,18583,44
2025-10-26T01:23:30.104031,BLINK,-1,-1,18626,45
2025-10-26T01:23:30.121874,BLINK,-1,-1,18644,46
2025-10-26T01:23:30.324782,GAZE,1919,649,18847,520
2025-10-26T01:23:30.652683,GAZE,1814,584,19175,530
2025-10-26T01:23:30.994257,GAZE,1919,404,19517,540
2025-10-26T01:23:31.336500,GAZE,1906,642,19859,550
2025-10-26T01:23:31.662440,GAZE,1851,496,20185,560
