Blink Tracking Session: phase1_cycle1_1761465735198
Start Time: 2025-10-26T04:02:15.203701
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T04:05:19.251224, 108, 184.05, 0.216
2025-10-26T04:05:20.220395, 109, 185.02, 0.229
2025-10-26T04:05:20.852892, 110, 185.65, 0.214
2025-10-26T04:05:21.021875, 111, 185.82, 0.218
2025-10-26T04:05:21.201498, 112, 186.0, 0.225
2025-10-26T04:05:21.820447, 113, 186.62, 0.284
2025-10-26T04:05:22.348009, 114, 187.15, 0.217
2025-10-26T04:05:23.420586, 115, 188.22, 0.238
2025-10-26T04:05:24.493231, 116, 189.29, 0.245
2025-10-26T04:05:25.428344, 117, 190.23, 0.232
2025-10-26T04:05:26.620999, 118, 191.42, 0.212
2025-10-26T04:05:27.148755, 119, 191.95, 0.210
2025-10-26T04:05:27.284245, 120, 192.08, 0.214
2025-10-26T04:05:27.512223, 121, 192.31, 0.214
2025-10-26T04:05:28.219999, 122, 193.02, 0.300
2025-10-26T04:05:29.154522, 123, 193.95, 0.276
2025-10-26T04:05:30.229999, 124, 195.03, 0.245
2025-10-26T04:05:31.037473, 125, 195.83, 0.268
2025-10-26T04:05:33.820487, 126, 198.62, 0.221
2025-10-26T04:05:34.481295, 127, 199.28, 0.247
2025-10-26T04:05:36.634327, 128, 201.43, 0.214
