Blink Tracking Session: phase1_cycle1_1761479214725
Start Time: 2025-10-26T07:46:54.737484
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T07:47:18.403163, 1, 23.68, 0.210
2025-10-26T07:47:20.446044, 2, 25.72, 0.212
2025-10-26T07:47:24.027475, 3, 29.3, 0.210
2025-10-26T07:47:24.170469, 4, 29.44, 0.211
2025-10-26T07:47:24.558019, 5, 29.83, 0.214
2025-10-26T07:47:25.898329, 6, 31.17, 0.211
2025-10-26T07:47:26.694112, 7, 31.97, 0.212
2025-10-26T07:47:27.436415, 8, 32.71, 0.215
2025-10-26T07:47:27.626817, 9, 32.9, 0.213
2025-10-26T07:47:28.295737, 10, 33.57, 0.212
2025-10-26T07:47:29.904146, 11, 35.18, 0.210
2025-10-26T07:47:33.144640, 12, 38.42, 0.212
2025-10-26T07:47:33.922256, 13, 39.2, 0.222
2025-10-26T07:47:34.421003, 14, 39.69, 0.213
2025-10-26T07:47:37.747643, 15, 43.02, 0.210
2025-10-26T07:47:38.337173, 16, 43.61, 0.212
2025-10-26T07:47:39.640767, 17, 44.91, 0.211
2025-10-26T07:47:45.248403, 18, 50.52, 0.211
2025-10-26T07:47:45.618680, 19, 50.89, 0.210
2025-10-26T07:47:50.753706, 20, 56.03, 0.211
2025-10-26T07:49:26.061582, 21, 151.33, 0.276
2025-10-26T07:49:31.391448, 22, 156.66, 0.215
2025-10-26T07:49:31.715784, 23, 156.99, 0.311
2025-10-26T07:49:40.940296, 24, 166.21, 0.212
2025-10-26T07:49:41.080656, 25, 166.35, 0.239
2025-10-26T07:49:41.857982, 26, 167.13, 0.245
2025-10-26T07:50:03.083464, 27, 188.36, 0.243
2025-10-26T07:50:06.199058, 28, 191.47, 0.216
2025-10-26T07:50:08.593045, 29, 193.87, 0.210
2025-10-26T07:50:08.918881, 30, 194.19, 0.221
2025-10-26T07:50:09.712484, 31, 194.99, 0.222
2025-10-26T07:50:09.947906, 32, 195.22, 0.219
2025-10-26T07:50:10.912888, 33, 196.19, 0.220
2025-10-26T07:50:12.515492, 34, 197.79, 0.223
2025-10-26T07:50:12.937937, 35, 198.21, 0.214
2025-10-26T07:50:13.313049, 36, 198.59, 0.217
2025-10-26T07:50:13.782206, 37, 199.06, 0.258
2025-10-26T07:50:15.147768, 38, 200.42, 0.250
2025-10-26T07:50:16.405002, 39, 201.68, 0.243
2025-10-26T07:50:17.197254, 40, 202.47, 0.211
2025-10-26T07:50:17.753776, 41, 203.03, 0.259
2025-10-26T07:50:19.157721, 42, 204.43, 0.217
2025-10-26T07:50:22.217224, 43, 207.49, 0.218
2025-10-26T07:50:23.841542, 44, 209.11, 0.221
2025-10-26T07:50:24.923530, 45, 210.2, 0.212
2025-10-26T07:50:25.251243, 46, 210.52, 0.215
2025-10-26T07:50:26.164261, 47, 211.44, 0.246
2025-10-26T07:50:27.894367, 48, 213.17, 0.223
2025-10-26T07:50:28.920397, 49, 214.19, 0.225
2025-10-26T07:50:31.331000, 50, 216.6, 0.243
2025-10-26T07:50:32.238648, 51, 217.51, 0.212
2025-10-26T07:50:32.613093, 52, 217.89, 0.238
2025-10-26T07:50:36.723877, 53, 222.0, 0.227
2025-10-26T07:50:37.144260, 54, 222.42, 0.243
2025-10-26T07:50:38.318364, 55, 223.59, 0.216
2025-10-26T07:50:39.149465, 56, 224.42, 0.211
2025-10-26T07:50:39.336377, 57, 224.61, 0.243
2025-10-26T07:50:40.041131, 58, 225.31, 0.228
2025-10-26T07:50:40.393260, 59, 225.67, 0.211
2025-10-26T07:50:41.202371, 60, 226.48, 0.212
2025-10-26T07:50:41.730933, 61, 227.0, 0.245
2025-10-26T07:50:42.699495, 62, 227.97, 0.212
2025-10-26T07:50:44.689021, 63, 229.96, 0.210
2025-10-26T07:50:45.030056, 64, 230.3, 0.343
2025-10-26T07:50:46.882931, 65, 232.16, 0.213
2025-10-26T07:50:48.437809, 66, 233.71, 0.213
2025-10-26T07:50:49.153199, 67, 234.43, 0.330
2025-10-26T07:50:52.700312, 68, 237.97, 0.214
2025-10-26T07:50:52.976461, 69, 238.25, 0.221
2025-10-26T07:50:59.484106, 70, 244.76, 0.211
2025-10-26T07:51:01.740975, 71, 247.01, 0.215
2025-10-26T07:51:02.065513, 72, 247.34, 0.261
2025-10-26T07:51:02.998995, 73, 248.27, 0.241
2025-10-26T07:51:06.294395, 74, 251.57, 0.247
2025-10-26T07:51:07.146743, 75, 252.42, 0.267
2025-10-26T07:51:10.917979, 76, 256.19, 0.279
2025-10-26T07:51:15.085915, 77, 260.36, 0.223
2025-10-26T07:51:17.109531, 78, 262.38, 0.226
2025-10-26T07:51:18.067076, 79, 263.34, 0.216
2025-10-26T07:51:18.359539, 80, 263.63, 0.212
2025-10-26T07:51:19.137708, 81, 264.41, 0.216
2025-10-26T07:51:21.005772, 82, 266.28, 0.219
2025-10-26T07:51:22.647732, 83, 267.92, 0.254
2025-10-26T07:51:24.978832, 84, 270.25, 0.241
2025-10-26T07:51:29.302718, 85, 274.58, 0.211
2025-10-26T07:51:30.052918, 86, 275.33, 0.221
2025-10-26T07:51:31.491708, 87, 276.76, 0.218
2025-10-26T07:51:32.345436, 88, 277.62, 0.221
2025-10-26T07:51:34.706781, 89, 279.98, 0.211
2025-10-26T07:51:35.730193, 90, 281.0, 0.212
2025-10-26T07:51:36.333235, 91, 281.61, 0.212
2025-10-26T07:51:38.585617, 92, 283.86, 0.218
2025-10-26T07:51:39.147831, 93, 284.42, 0.212
2025-10-26T07:51:39.426017, 94, 284.7, 0.217
2025-10-26T07:51:42.050568, 95, 287.32, 0.213
2025-10-26T07:51:47.660391, 96, 292.93, 0.218
2025-10-26T07:51:50.895416, 97, 296.17, 0.218
2025-10-26T07:51:51.671399, 98, 296.94, 0.225
2025-10-26T07:51:52.757874, 99, 298.03, 0.284
2025-10-26T07:51:54.660832, 100, 299.93, 0.219
2025-10-26T07:51:54.816255, 101, 300.09, 0.218
2025-10-26T07:51:55.424452, 102, 300.7, 0.219
2025-10-26T07:51:57.479155, 103, 302.75, 0.213
2025-10-26T07:51:58.474458, 104, 303.75, 0.211
2025-10-26T07:51:58.971226, 105, 304.24, 0.210
2025-10-26T07:52:00.089632, 106, 305.36, 0.227
2025-10-26T07:52:05.593396, 107, 310.87, 0.227
2025-10-26T07:52:13.451553, 108, 318.72, 0.257
2025-10-26T07:52:19.379713, 109, 324.65, 0.224
