Blink Tracking Session: phase1_cycle1_1761468138293
Start Time: 2025-10-26T04:42:18.299754
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T04:42:31.165429, 1, 12.87, 0.264
2025-10-26T04:42:31.502250, 2, 13.2, 0.247
2025-10-26T04:42:32.058681, 3, 13.76, 0.210
2025-10-26T04:42:38.717940, 4, 20.42, 0.219
2025-10-26T04:42:51.797188, 5, 33.5, 0.223
2025-10-26T04:42:52.796359, 6, 34.5, 0.251
2025-10-26T04:43:00.432772, 7, 42.14, 0.218
2025-10-26T04:43:04.597993, 8, 46.3, 0.222
2025-10-26T04:43:07.198244, 9, 48.9, 0.287
2025-10-26T04:43:08.481927, 10, 50.18, 0.237
2025-10-26T04:43:09.225784, 11, 50.93, 0.262
2025-10-26T04:43:10.364283, 12, 52.07, 0.286
2025-10-26T04:43:47.762010, 13, 89.46, 0.261
2025-10-26T04:44:12.428860, 14, 114.13, 0.210
2025-10-26T04:44:12.727965, 15, 114.43, 0.213
2025-10-26T04:44:19.072882, 16, 120.78, 0.330
2025-10-26T04:44:21.322888, 17, 123.03, 0.219
2025-10-26T04:44:22.850645, 18, 124.55, 0.295
2025-10-26T04:44:26.349145, 19, 128.05, 0.267
2025-10-26T04:44:27.819497, 20, 129.52, 0.300
2025-10-26T04:44:29.015632, 21, 130.72, 0.277
2025-10-26T04:44:30.454837, 22, 132.16, 0.291
2025-10-26T04:44:31.207828, 23, 132.91, 0.273
2025-10-26T04:44:32.189435, 24, 133.89, 0.227
2025-10-26T04:44:35.613619, 25, 137.32, 0.269
2025-10-26T04:44:43.634964, 26, 145.34, 0.349
2025-10-26T04:44:53.863220, 27, 155.57, 0.219
2025-10-26T04:44:57.864030, 28, 159.57, 0.222
2025-10-26T04:45:00.439213, 29, 162.14, 0.224
2025-10-26T04:45:01.334250, 30, 163.04, 0.216
2025-10-26T04:45:07.991635, 31, 169.69, 0.247
2025-10-26T04:45:08.392660, 32, 170.09, 0.387
2025-10-26T04:45:10.798940, 33, 172.5, 0.221
2025-10-26T04:45:15.464246, 34, 177.17, 0.346
2025-10-26T04:45:30.259934, 35, 191.96, 0.222
2025-10-26T04:45:40.919225, 36, 202.62, 0.380
2025-10-26T04:45:41.975551, 37, 203.68, 0.235
2025-10-26T04:45:43.461062, 38, 205.16, 0.258
2025-10-26T04:45:44.782986, 39, 206.49, 0.263
2025-10-26T04:45:45.718486, 40, 207.42, 0.278
2025-10-26T04:45:46.519738, 41, 208.22, 0.272
2025-10-26T04:45:47.712870, 42, 209.42, 0.264
2025-10-26T04:45:48.514420, 43, 210.22, 0.279
2025-10-26T04:45:49.223221, 44, 210.93, 0.233
2025-10-26T04:45:50.906793, 45, 212.61, 0.263
2025-10-26T04:45:51.714557, 46, 213.42, 0.281
2025-10-26T04:45:53.448152, 47, 215.15, 0.216
2025-10-26T04:45:55.305811, 48, 217.01, 0.267
2025-10-26T04:45:56.281935, 49, 217.98, 0.230
2025-10-26T04:45:57.703586, 50, 219.41, 0.250
2025-10-26T04:45:58.112806, 51, 219.82, 0.329
2025-10-26T04:46:01.702329, 52, 223.4, 0.301
2025-10-26T04:46:02.505289, 53, 224.21, 0.256
2025-10-26T04:46:03.576205, 54, 225.28, 0.271
2025-10-26T04:46:04.103262, 55, 225.81, 0.230
2025-10-26T04:46:06.529084, 56, 228.23, 0.213
2025-10-26T04:46:08.108433, 57, 229.81, 0.284
2025-10-26T04:46:08.921200, 58, 230.62, 0.269
2025-10-26T04:46:09.576889, 59, 231.28, 0.227
