Blink Tracking Session: phase1_cycle1_1761464834209
Start Time: 2025-10-26T03:47:14.215165
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T03:47:17.605503, 1, 3.39, 0.340
2025-10-26T03:47:18.580886, 2, 4.37, 0.329
2025-10-26T03:47:19.621445, 3, 5.41, 0.219
2025-10-26T03:47:21.077729, 4, 6.86, 0.217
2025-10-26T03:47:22.183203, 5, 7.97, 0.229
2025-10-26T03:47:23.314532, 6, 9.1, 0.266
2025-10-26T03:47:24.912881, 7, 10.7, 0.272
2025-10-26T03:47:25.969841, 8, 11.76, 0.257
2025-10-26T03:47:29.714322, 9, 15.5, 0.261
2025-10-26T03:47:30.389028, 10, 16.18, 0.230
2025-10-26T03:47:30.771207, 11, 16.56, 0.242
2025-10-26T03:47:31.305973, 12, 17.09, 0.218
2025-10-26T03:47:32.369637, 13, 18.16, 0.257
2025-10-26T03:47:33.167908, 14, 18.95, 0.249
2025-10-26T03:47:33.569325, 15, 19.36, 0.211
2025-10-26T03:47:38.376789, 16, 24.16, 0.234
2025-10-26T03:47:43.847464, 17, 29.63, 0.250
2025-10-26T03:47:46.098757, 18, 31.89, 0.264
2025-10-26T03:47:55.298413, 19, 41.09, 0.251
2025-10-26T03:47:57.694731, 20, 43.48, 0.254
2025-10-26T03:48:06.093172, 21, 51.88, 0.391
2025-10-26T03:48:08.883650, 22, 54.67, 0.257
2025-10-26T03:48:10.491046, 23, 56.28, 0.211
2025-10-26T03:48:10.907129, 24, 56.69, 0.244
2025-10-26T03:48:11.332484, 25, 57.12, 0.218
2025-10-26T03:48:16.353619, 26, 62.14, 0.227
2025-10-26T03:48:17.287577, 27, 63.07, 0.252
2025-10-26T03:48:22.615739, 28, 68.4, 0.273
2025-10-26T03:48:23.416500, 29, 69.2, 0.251
2025-10-26T03:48:24.353969, 30, 70.14, 0.248
2025-10-26T03:48:25.014856, 31, 70.8, 0.283
2025-10-26T03:48:26.113461, 32, 71.9, 0.280
2025-10-26T03:48:26.618579, 33, 72.41, 0.242
2025-10-26T03:48:28.359629, 34, 74.15, 0.277
2025-10-26T03:48:30.484122, 35, 76.27, 0.233
