Eye Tracking Session: phase1_cycle1_1761461317476
Start Time: 2025-10-26T02:48:37.476567
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T02:48:38.106027,GAZE,1237,299,629,10
2025-10-26T02:48:38.427242,GAZE,818,119,950,20
2025-10-26T02:48:38.761279,GAZE,84,0,1284,30
2025-10-26T02:48:39.097933,GAZE,840,73,1621,40
2025-10-26T02:48:39.435364,GAZE,1861,341,1958,50
2025-10-26T02:48:39.770720,GAZE,1886,310,2294,60
2025-10-26T02:48:40.111424,GAZE,1691,293,2634,70
2025-10-26T02:48:40.442608,GAZE,1470,319,2966,80
2025-10-26T02:48:40.777473,GAZE,1305,302,3300,90
2025-10-26T02:48:41.114314,GAZE,1243,294,3637,100
2025-10-26T02:48:41.435006,GAZE,1226,243,3958,110
2025-10-26T02:48:41.773757,GAZE,1194,199,4297,120
2025-10-26T02:48:42.113857,GAZE,1240,207,4637,130
2025-10-26T02:48:42.444262,GAZE,1283,231,4967,140
2025-10-26T02:48:42.783361,GAZE,1342,232,5306,150
2025-10-26T02:48:43.114092,GAZE,1528,24,5637,160
2025-10-26T02:48:43.449588,GAZE,1844,0,5973,170
2025-10-26T02:48:43.786785,GAZE,1818,0,6310,180
2025-10-26T02:48:44.097277,GAZE,1779,0,6620,190
2025-10-26T02:48:44.442141,GAZE,1733,0,6965,200
2025-10-26T02:48:44.778768,GAZE,1759,0,7302,210
2025-10-26T02:48:45.118110,GAZE,1810,0,7641,220
2025-10-26T02:48:45.453677,GAZE,1773,0,7977,230
2025-10-26T02:48:45.767523,GAZE,1920,0,8290,240
2025-10-26T02:48:46.090626,GAZE,1823,0,8614,250
2025-10-26T02:48:46.444017,GAZE,1774,0,8967,260
2025-10-26T02:48:46.768900,GAZE,1765,0,9292,270
2025-10-26T02:48:46.988265,BLINK,-1,-1,9511,1
2025-10-26T02:48:47.050384,BLINK,-1,-1,9573,2
2025-10-26T02:48:47.077628,BLINK,-1,-1,9601,3
2025-10-26T02:48:47.108898,BLINK,-1,-1,9632,4
2025-10-26T02:48:47.138404,BLINK,-1,-1,9661,5
2025-10-26T02:48:47.171329,BLINK,-1,-1,9694,6
2025-10-26T02:48:47.298203,GAZE,1876,0,9821,280
2025-10-26T02:48:47.637967,GAZE,1920,0,10161,290
2025-10-26T02:48:47.990540,GAZE,1873,0,10513,300
2025-10-26T02:48:48.295623,GAZE,636,0,10819,310
