Blink Tracking Session: phase1_cycle1_1761467868128
Start Time: 2025-10-26T04:37:48.132787
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T04:37:51.827632, 1, 3.7, 0.268
2025-10-26T04:37:52.875097, 2, 4.74, 0.311
2025-10-26T04:37:54.873600, 3, 6.74, 0.217
2025-10-26T04:37:55.136655, 4, 7.0, 0.283
2025-10-26T04:37:56.070243, 5, 7.94, 0.231
2025-10-26T04:37:56.787683, 6, 8.66, 0.219
2025-10-26T04:37:58.877586, 7, 10.75, 0.335
2025-10-26T04:38:00.338243, 8, 12.21, 0.274
2025-10-26T04:38:04.197199, 9, 16.07, 0.212
2025-10-26T04:38:04.653734, 10, 16.52, 0.265
2025-10-26T04:38:05.254017, 11, 17.12, 0.219
2025-10-26T04:38:05.570852, 12, 17.44, 0.223
2025-10-26T04:38:06.854107, 13, 18.72, 0.220
2025-10-26T04:38:07.682377, 14, 19.55, 0.212
2025-10-26T04:38:08.251124, 15, 20.12, 0.217
2025-10-26T04:38:13.657355, 16, 25.53, 0.258
2025-10-26T04:38:14.851847, 17, 26.72, 0.225
2025-10-26T04:38:17.651112, 18, 29.52, 0.244
2025-10-26T04:38:18.776572, 19, 30.64, 0.221
2025-10-26T04:38:19.654523, 20, 31.52, 0.222
2025-10-26T04:38:20.600240, 21, 32.47, 0.212
2025-10-26T04:38:21.124721, 22, 32.99, 0.245
2025-10-26T04:38:22.586398, 23, 34.45, 0.231
2025-10-26T04:38:23.652143, 24, 35.52, 0.227
2025-10-26T04:38:23.942453, 25, 35.81, 0.332
2025-10-26T04:38:24.729236, 26, 36.6, 0.212
2025-10-26T04:38:25.438884, 27, 37.31, 0.213
2025-10-26T04:38:25.928096, 28, 37.8, 0.232
2025-10-26T04:38:26.451805, 29, 38.32, 0.235
2025-10-26T04:38:26.853365, 30, 38.72, 0.255
2025-10-26T04:38:27.652610, 31, 39.52, 0.302
2025-10-26T04:38:28.851437, 32, 40.72, 0.244
2025-10-26T04:38:30.626657, 33, 42.49, 0.235
2025-10-26T04:38:31.131030, 34, 43.0, 0.301
2025-10-26T04:38:34.371167, 35, 46.24, 0.226
2025-10-26T04:38:36.179781, 36, 48.05, 0.222
2025-10-26T04:38:37.827796, 37, 49.7, 0.213
2025-10-26T04:38:38.315032, 38, 50.18, 0.215
2025-10-26T04:38:38.579595, 39, 50.45, 0.212
2025-10-26T04:38:40.193613, 40, 52.06, 0.213
2025-10-26T04:38:40.458791, 41, 52.33, 0.214
2025-10-26T04:38:45.556199, 42, 57.42, 0.313
2025-10-26T04:38:46.853690, 43, 58.72, 0.345
2025-10-26T04:38:48.448805, 44, 60.32, 0.294
2025-10-26T04:38:54.182866, 45, 66.05, 0.256
2025-10-26T04:38:55.093401, 46, 66.96, 0.289
2025-10-26T04:38:55.890015, 47, 67.76, 0.303
2025-10-26T04:38:57.234661, 48, 69.1, 0.284
2025-10-26T04:38:57.913495, 49, 69.78, 0.264
2025-10-26T04:38:58.969530, 50, 70.84, 0.286
2025-10-26T04:39:00.435231, 51, 72.3, 0.311
2025-10-26T04:39:01.669282, 52, 73.54, 0.218
2025-10-26T04:39:02.698278, 53, 74.57, 0.293
2025-10-26T04:39:03.294353, 54, 75.16, 0.288
2025-10-26T04:39:05.098199, 55, 76.97, 0.292
2025-10-26T04:39:05.765555, 56, 77.63, 0.302
2025-10-26T04:39:06.821318, 57, 78.69, 0.214
2025-10-26T04:39:07.365299, 58, 79.23, 0.215
2025-10-26T04:39:08.292485, 59, 80.16, 0.296
2025-10-26T04:39:09.183019, 60, 81.05, 0.222
2025-10-26T04:39:09.533386, 61, 81.4, 0.244
2025-10-26T04:41:08.403226, 62, 200.27, 0.222
2025-10-26T04:41:10.414616, 63, 202.28, 0.255
2025-10-26T04:41:11.602054, 64, 203.47, 0.214
