Blink Tracking Session: phase1_cycle1_1761476570211
Start Time: 2025-10-26T07:02:50.218074
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T07:02:54.101455, 1, 3.89, 0.229
2025-10-26T07:03:00.385619, 2, 10.17, 0.221
2025-10-26T07:03:05.935801, 3, 15.72, 0.239
2025-10-26T07:03:09.058728, 4, 18.84, 0.213
2025-10-26T07:03:10.400681, 5, 20.18, 0.226
2025-10-26T07:03:10.836328, 6, 20.62, 0.237
2025-10-26T07:03:11.749966, 7, 21.53, 0.250
2025-10-26T07:03:13.360585, 8, 23.14, 0.219
2025-10-26T07:03:15.449548, 9, 25.23, 0.226
2025-10-26T07:03:16.837111, 10, 26.62, 0.218
2025-10-26T07:03:18.552933, 11, 28.34, 0.230
2025-10-26T07:03:19.473864, 12, 29.26, 0.228
2025-10-26T07:03:20.947542, 13, 30.73, 0.235
2025-10-26T07:03:21.481442, 14, 31.27, 0.211
2025-10-26T07:03:21.668394, 15, 31.45, 0.246
2025-10-26T07:03:22.479332, 16, 32.26, 0.227
2025-10-26T07:03:26.041148, 17, 35.83, 0.251
2025-10-26T07:03:27.035020, 18, 36.82, 0.236
2025-10-26T07:03:27.782798, 19, 37.57, 0.230
2025-10-26T07:03:28.637749, 20, 38.42, 0.237
2025-10-26T07:03:28.873784, 21, 38.66, 0.220
2025-10-26T07:03:30.367488, 22, 40.15, 0.222
2025-10-26T07:03:30.536086, 23, 40.32, 0.211
2025-10-26T07:03:31.240366, 24, 41.02, 0.211
2025-10-26T07:03:31.878094, 25, 41.66, 0.238
2025-10-26T07:03:32.174782, 26, 41.96, 0.222
2025-10-26T07:03:35.768276, 27, 45.55, 0.222
2025-10-26T07:03:51.156968, 28, 60.94, 0.230
2025-10-26T07:04:09.173987, 29, 78.96, 0.222
2025-10-26T07:04:09.722373, 30, 79.51, 0.230
2025-10-26T07:05:02.487797, 31, 132.27, 0.286
2025-10-26T07:05:18.368709, 32, 148.15, 0.271
2025-10-26T07:05:23.773160, 33, 153.56, 0.311
2025-10-26T07:05:39.469906, 34, 169.25, 0.211
2025-10-26T07:05:39.657602, 35, 169.44, 0.239
2025-10-26T07:05:40.684557, 36, 170.47, 0.237
2025-10-26T07:05:44.962888, 37, 174.75, 0.218
2025-10-26T07:06:04.343528, 38, 194.13, 0.266
2025-10-26T07:06:05.639294, 39, 195.42, 0.263
2025-10-26T07:06:11.637620, 40, 201.42, 0.232
2025-10-26T07:06:50.780694, 41, 240.56, 0.247
2025-10-26T07:06:53.007650, 42, 242.79, 0.259
2025-10-26T07:06:59.467638, 43, 249.25, 0.214
2025-10-26T07:07:01.912289, 44, 251.7, 0.243
2025-10-26T07:07:03.111977, 45, 252.9, 0.218
2025-10-26T07:07:06.408354, 46, 256.19, 0.255
2025-10-26T07:07:10.100757, 47, 259.88, 0.245
2025-10-26T07:07:12.053452, 48, 261.84, 0.230
