Blink Tracking Session: phase1_cycle1_1761465339482
Start Time: 2025-10-26T03:55:39.490494
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T03:55:46.702425, 1, 7.21, 0.255
2025-10-26T03:55:48.307275, 2, 8.82, 0.299
2025-10-26T03:55:49.380645, 3, 9.89, 0.348
2025-10-26T03:55:51.502807, 4, 12.02, 0.278
2025-10-26T03:55:59.361745, 5, 19.87, 0.311
2025-10-26T03:56:04.955991, 6, 25.47, 0.326
2025-10-26T03:56:09.487736, 7, 30.0, 0.342
2025-10-26T03:56:10.844246, 8, 31.36, 0.316
2025-10-26T03:56:11.363319, 9, 31.88, 0.336
2025-10-26T03:56:23.613122, 10, 44.13, 0.356
2025-10-26T03:56:24.147794, 11, 44.66, 0.345
2025-10-26T03:56:30.165046, 12, 50.68, 0.350
2025-10-26T03:56:35.224140, 13, 55.74, 0.307
2025-10-26T03:56:36.941997, 14, 57.45, 0.332
2025-10-26T03:56:38.148410, 15, 58.66, 0.321
2025-10-26T03:56:39.785723, 16, 60.3, 0.296
2025-10-26T03:56:41.083409, 17, 61.6, 0.342
2025-10-26T03:56:42.000250, 18, 62.51, 0.337
2025-10-26T03:56:45.748627, 19, 66.26, 0.215
2025-10-26T03:56:47.872479, 20, 68.38, 0.324
2025-10-26T03:56:49.204063, 21, 69.72, 0.278
2025-10-26T03:56:50.313292, 22, 70.83, 0.295
2025-10-26T03:56:51.731880, 23, 72.24, 0.287
2025-10-26T03:56:55.999041, 24, 76.51, 0.267
2025-10-26T03:56:57.619583, 25, 78.13, 0.286
2025-10-26T03:56:59.342127, 26, 79.85, 0.277
2025-10-26T03:57:01.481054, 27, 81.99, 0.297
2025-10-26T03:57:02.550067, 28, 83.06, 0.290
2025-10-26T03:57:03.330844, 29, 83.84, 0.258
2025-10-26T03:57:04.935693, 30, 85.45, 0.296
2025-10-26T03:57:05.755537, 31, 86.27, 0.310
2025-10-26T03:57:06.651083, 32, 87.16, 0.280
2025-10-26T03:57:08.133036, 33, 88.65, 0.339
2025-10-26T03:57:09.857677, 34, 90.37, 0.307
2025-10-26T03:57:11.984486, 35, 92.5, 0.275
2025-10-26T03:57:16.252863, 36, 96.77, 0.280
2025-10-26T03:57:19.334420, 37, 99.85, 0.273
2025-10-26T03:57:19.982578, 38, 100.5, 0.286
2025-10-26T03:57:21.980409, 39, 102.49, 0.319
2025-10-26T03:57:23.179523, 40, 103.69, 0.336
2025-10-26T03:57:24.379433, 41, 104.89, 0.329
2025-10-26T03:57:25.709681, 42, 106.22, 0.215
2025-10-26T03:57:26.032563, 43, 106.55, 0.261
2025-10-26T03:57:26.525540, 44, 107.04, 0.233
2025-10-26T03:57:32.123693, 45, 112.64, 0.349
2025-10-26T03:57:34.248054, 46, 114.76, 0.262
2025-10-26T03:58:15.955622, 47, 156.47, 0.295
2025-10-26T03:58:20.217532, 48, 160.73, 0.276
2025-10-26T03:58:23.863904, 49, 164.38, 0.218
2025-10-26T03:58:25.947007, 50, 166.46, 0.340
2025-10-26T03:58:28.478300, 51, 168.99, 0.326
2025-10-26T03:58:34.346312, 52, 174.86, 0.280
2025-10-26T03:58:37.401455, 53, 177.91, 0.319
2025-10-26T03:58:39.002583, 54, 179.52, 0.313
2025-10-26T03:58:39.679055, 55, 180.19, 0.307
2025-10-26T03:58:41.003638, 56, 181.52, 0.298
2025-10-26T03:58:44.208527, 57, 184.72, 0.294
2025-10-26T03:58:47.410168, 58, 187.92, 0.291
2025-10-26T03:58:52.601729, 59, 193.11, 0.319
2025-10-26T03:58:54.379123, 60, 194.89, 0.236
2025-10-26T03:59:48.443798, 61, 248.96, 0.344
2025-10-26T04:00:05.510210, 62, 266.02, 0.342
2025-10-26T04:00:06.441579, 63, 266.95, 0.313
2025-10-26T04:00:07.639321, 64, 268.15, 0.239
