Eye Tracking Session: phase1_cycle1_1761461221485
Start Time: 2025-10-26T02:47:01.493291
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T02:47:02.126181,GAZE,853,174,639,10
2025-10-26T02:47:02.452802,GAZE,966,286,966,20
2025-10-26T02:47:02.787684,GAZE,1461,85,1301,30
2025-10-26T02:47:03.119009,GAZE,1628,0,1632,40
2025-10-26T02:47:03.458186,GAZE,1551,13,1971,50
2025-10-26T02:47:03.794288,GAZE,1096,413,2307,60
2025-10-26T02:47:04.127159,GAZE,1007,422,2640,70
2025-10-26T02:47:04.466329,GAZE,1008,292,2979,80
2025-10-26T02:47:04.803561,GAZE,940,106,3316,90
2025-10-26T02:47:05.134691,GAZE,832,0,3648,100
2025-10-26T02:47:05.455329,GAZE,740,0,3968,110
2025-10-26T02:47:05.535967,BLINK,-1,-1,4049,1
2025-10-26T02:47:05.564251,BLINK,-1,-1,4077,2
2025-10-26T02:47:05.599569,BLINK,-1,-1,4112,3
2025-10-26T02:47:05.628822,BLINK,-1,-1,4142,4
2025-10-26T02:47:05.936745,GAZE,695,275,4450,120
2025-10-26T02:47:06.270964,GAZE,695,274,4783,130
2025-10-26T02:47:06.594706,GAZE,321,294,5108,140
2025-10-26T02:47:06.926511,GAZE,905,256,5439,150
2025-10-26T02:47:07.264621,GAZE,1322,388,5778,160
2025-10-26T02:47:07.598593,GAZE,1366,371,6111,170
2025-10-26T02:47:07.935697,GAZE,1337,343,6449,180
2025-10-26T02:47:08.274540,GAZE,1334,353,6787,190
2025-10-26T02:47:08.403760,BLINK,-1,-1,6917,5
2025-10-26T02:47:08.436199,BLINK,-1,-1,6949,6
2025-10-26T02:47:08.466935,BLINK,-1,-1,6980,7
2025-10-26T02:47:08.496928,BLINK,-1,-1,7010,8
2025-10-26T02:47:08.529073,BLINK,-1,-1,7042,9
2025-10-26T02:47:08.559643,BLINK,-1,-1,7073,10
2025-10-26T02:47:08.590719,BLINK,-1,-1,7104,11
2025-10-26T02:47:08.821955,GAZE,1373,485,7335,200
2025-10-26T02:47:09.162542,GAZE,1320,370,7675,210
2025-10-26T02:47:09.505147,GAZE,1251,251,8018,220
2025-10-26T02:47:09.813682,GAZE,1290,254,8327,230
2025-10-26T02:47:10.144458,GAZE,1324,256,8657,240
2025-10-26T02:47:10.482925,GAZE,1340,205,8996,250
2025-10-26T02:47:10.825458,GAZE,1143,256,9338,260
2025-10-26T02:47:11.164433,GAZE,995,321,9677,270
2025-10-26T02:47:11.494458,GAZE,995,364,10007,280
2025-10-26T02:47:11.808789,GAZE,996,91,10322,290
2025-10-26T02:47:12.157138,GAZE,493,377,10670,300
2025-10-26T02:47:12.478863,GAZE,0,641,10992,310
2025-10-26T02:47:12.814405,GAZE,0,555,11327,320
2025-10-26T02:47:13.156952,GAZE,0,336,11670,330
2025-10-26T02:47:13.490846,GAZE,0,98,12004,340
2025-10-26T02:47:13.826308,GAZE,0,0,12339,350
2025-10-26T02:47:14.158819,GAZE,0,390,12672,360
2025-10-26T02:47:14.479187,GAZE,216,508,12992,370
2025-10-26T02:47:14.819898,GAZE,243,345,13333,380
2025-10-26T02:47:15.088504,BLINK,-1,-1,13601,12
2025-10-26T02:47:15.112075,BLINK,-1,-1,13625,13
2025-10-26T02:47:15.149453,BLINK,-1,-1,13662,14
2025-10-26T02:47:15.173820,BLINK,-1,-1,13687,15
2025-10-26T02:47:15.297725,GAZE,574,0,13811,390
