Eye Tracking Session: phase1_cycle1_1761476437667
Start Time: 2025-10-26T07:00:37.668681
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T07:00:38.297360,GAZE,840,727,628,10
2025-10-26T07:00:38.622707,GAZE,205,924,954,20
2025-10-26T07:00:38.957661,GAZE,18,803,1288,30
2025-10-26T07:00:39.292942,GAZE,51,765,1624,40
2025-10-26T07:00:39.625827,GAZE,139,562,1957,50
2025-10-26T07:00:39.960679,GAZE,247,679,2291,60
2025-10-26T07:00:40.301686,GAZE,349,715,2633,70
2025-10-26T07:00:40.364107,BLINK,-1,-1,2695,1
2025-10-26T07:00:40.396304,BLINK,-1,-1,2727,2
2025-10-26T07:00:40.426390,BLINK,-1,-1,2757,3
2025-10-26T07:00:40.456366,BLINK,-1,-1,2787,4
2025-10-26T07:00:40.764594,GAZE,708,699,3095,80
2025-10-26T07:00:40.906100,BLINK,-1,-1,3237,5
2025-10-26T07:00:40.937590,BLINK,-1,-1,3268,6
2025-10-26T07:00:40.971337,BLINK,-1,-1,3302,7
2025-10-26T07:00:40.997497,BLINK,-1,-1,3328,8
2025-10-26T07:00:41.225573,GAZE,722,686,3556,90
2025-10-26T07:00:41.560737,GAZE,635,610,3892,100
2025-10-26T07:00:41.898664,GAZE,734,510,4229,110
2025-10-26T07:00:42.234365,GAZE,828,501,4565,120
2025-10-26T07:00:42.569652,GAZE,442,661,4900,130
2025-10-26T07:00:42.909905,GAZE,703,259,5241,140
2025-10-26T07:00:43.242664,GAZE,1103,65,5573,150
2025-10-26T07:00:43.368962,BLINK,-1,-1,5700,9
2025-10-26T07:00:43.398429,BLINK,-1,-1,5729,10
2025-10-26T07:00:43.435187,BLINK,-1,-1,5766,11
2025-10-26T07:00:43.459890,BLINK,-1,-1,5791,12
2025-10-26T07:00:43.501399,BLINK,-1,-1,5832,13
2025-10-26T07:00:43.522413,BLINK,-1,-1,5853,14
2025-10-26T07:00:43.553576,BLINK,-1,-1,5884,15
2025-10-26T07:00:43.582977,BLINK,-1,-1,5914,16
2025-10-26T07:00:43.836459,GAZE,760,613,6167,160
2025-10-26T07:00:44.172440,GAZE,610,649,6503,170
2025-10-26T07:00:44.506668,GAZE,712,528,6837,180
2025-10-26T07:00:44.844634,GAZE,675,536,7175,190
2025-10-26T07:00:45.163996,GAZE,584,516,7495,200
2025-10-26T07:00:45.490450,GAZE,581,542,7821,210
2025-10-26T07:00:45.831135,GAZE,631,577,8162,220
2025-10-26T07:00:46.161463,GAZE,600,560,8492,230
2025-10-26T07:00:46.507547,GAZE,482,488,8838,240
2025-10-26T07:00:46.840642,GAZE,115,85,9171,250
