Eye Tracking Session: phase1_cycle1_1761461422220
Start Time: 2025-10-26T02:50:22.221808
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T02:50:22.855911,GAZE,1077,341,635,10
2025-10-26T02:50:23.171948,GAZE,438,384,951,20
2025-10-26T02:50:23.509801,GAZE,328,414,1289,30
2025-10-26T02:50:23.845055,GAZE,426,371,1624,40
2025-10-26T02:50:24.184512,GAZE,598,406,1964,50
2025-10-26T02:50:24.520338,GAZE,545,374,2299,60
2025-10-26T02:50:24.856467,GAZE,523,302,2636,70
2025-10-26T02:50:25.189236,GAZE,531,320,2968,80
2025-10-26T02:50:25.524438,GAZE,534,375,3304,90
2025-10-26T02:50:25.859746,GAZE,581,398,3639,100
2025-10-26T02:50:26.180194,GAZE,534,385,3959,110
2025-10-26T02:50:26.522973,GAZE,549,401,4302,120
2025-10-26T02:50:26.856251,GAZE,575,410,4635,130
2025-10-26T02:50:27.189802,GAZE,594,419,4969,140
2025-10-26T02:50:27.525794,GAZE,637,405,5305,150
2025-10-26T02:50:27.860260,GAZE,511,546,5639,160
2025-10-26T02:50:28.199180,GAZE,316,863,5978,170
2025-10-26T02:50:28.527904,GAZE,283,891,6307,180
2025-10-26T02:50:28.839196,GAZE,288,834,6618,190
2025-10-26T02:50:29.189033,GAZE,315,858,6968,200
2025-10-26T02:50:29.523023,GAZE,324,820,7302,210
2025-10-26T02:50:29.864035,GAZE,314,877,7643,220
2025-10-26T02:50:30.198866,GAZE,269,892,7978,230
2025-10-26T02:50:30.500204,GAZE,228,831,8279,240
2025-10-26T02:50:30.841194,GAZE,315,856,8620,250
2025-10-26T02:50:31.179932,GAZE,326,846,8959,260
2025-10-26T02:50:31.517281,GAZE,298,895,9296,270
2025-10-26T02:50:31.855581,GAZE,250,914,9635,280
2025-10-26T02:50:32.195713,GAZE,301,876,9975,290
2025-10-26T02:50:32.503845,GAZE,261,885,10283,300
2025-10-26T02:50:32.859752,GAZE,347,936,10639,310
2025-10-26T02:50:33.171077,GAZE,526,962,10950,320
2025-10-26T02:50:33.496108,GAZE,514,907,11275,330
2025-10-26T02:50:33.832434,GAZE,463,922,11612,340
2025-10-26T02:50:34.176132,GAZE,490,939,11955,350
2025-10-26T02:50:34.504289,GAZE,515,931,12283,360
2025-10-26T02:50:34.826457,GAZE,422,919,12606,370
2025-10-26T02:50:35.168712,GAZE,427,941,12948,380
2025-10-26T02:50:35.499781,GAZE,424,950,13279,390
2025-10-26T02:50:35.844078,GAZE,385,897,13623,400
2025-10-26T02:50:36.171393,GAZE,343,877,13951,410
2025-10-26T02:50:36.514122,GAZE,437,756,14293,420
2025-10-26T02:50:36.857266,GAZE,411,940,14636,430
2025-10-26T02:50:37.178926,GAZE,417,946,14958,440
2025-10-26T02:50:37.503920,GAZE,479,957,15283,450
2025-10-26T02:50:37.846347,GAZE,961,982,15625,460
2025-10-26T02:50:38.175574,GAZE,1274,976,15955,470
2025-10-26T02:50:38.515171,GAZE,1225,943,16294,480
2025-10-26T02:50:38.842750,GAZE,1143,929,16622,490
2025-10-26T02:50:39.181784,GAZE,1128,950,16961,500
2025-10-26T02:50:39.524228,GAZE,1114,976,17303,510
2025-10-26T02:50:39.851578,GAZE,1148,938,17631,520
2025-10-26T02:50:40.176854,GAZE,1230,960,17956,530
2025-10-26T02:50:40.507538,GAZE,1238,986,18287,540
2025-10-26T02:50:40.846536,GAZE,1163,975,18626,550
2025-10-26T02:50:41.191140,GAZE,1201,990,18970,560
2025-10-26T02:50:41.516917,GAZE,1150,977,19296,570
2025-10-26T02:50:41.860843,GAZE,1171,900,19640,580
2025-10-26T02:50:42.186824,GAZE,1134,932,19966,590
2025-10-26T02:50:42.517630,GAZE,1218,1049,20297,600
2025-10-26T02:50:42.845072,GAZE,1457,927,20624,610
2025-10-26T02:50:43.190433,GAZE,1702,750,20970,620
2025-10-26T02:50:43.517592,GAZE,1713,771,21297,630
2025-10-26T02:50:43.860727,GAZE,1642,810,21640,640
2025-10-26T02:50:44.173536,GAZE,1646,810,21953,650
2025-10-26T02:50:44.502055,GAZE,1664,858,22281,660
2025-10-26T02:50:44.843814,GAZE,1671,850,22623,670
2025-10-26T02:50:45.047078,BLINK,-1,-1,22826,1
2025-10-26T02:50:45.075856,BLINK,-1,-1,22855,2
2025-10-26T02:50:45.106921,BLINK,-1,-1,22886,3
2025-10-26T02:50:45.136780,BLINK,-1,-1,22916,4
2025-10-26T02:50:45.165748,BLINK,-1,-1,22945,5
2025-10-26T02:50:45.198622,BLINK,-1,-1,22978,6
2025-10-26T02:50:45.229345,BLINK,-1,-1,23008,7
2025-10-26T02:50:45.413946,GAZE,1544,1014,23193,680
2025-10-26T02:50:45.727917,GAZE,1591,848,23507,690
2025-10-26T02:50:46.074546,GAZE,1727,734,23854,700
2025-10-26T02:50:46.397774,GAZE,1741,728,24177,710
2025-10-26T02:50:46.739164,GAZE,1670,768,24518,720
2025-10-26T02:50:47.062683,GAZE,1666,788,24842,730
2025-10-26T02:50:47.403898,GAZE,1713,734,25183,740
2025-10-26T02:50:47.747180,GAZE,1665,790,25526,750
2025-10-26T02:50:47.779712,BLINK,-1,-1,25559,8
2025-10-26T02:50:47.809865,BLINK,-1,-1,25589,9
2025-10-26T02:50:47.846525,BLINK,-1,-1,25626,10
2025-10-26T02:50:47.871210,BLINK,-1,-1,25650,11
2025-10-26T02:50:48.217474,GAZE,742,1080,25997,760
2025-10-26T02:50:48.544606,GAZE,606,917,26324,770
2025-10-26T02:50:48.888536,GAZE,674,797,26668,780
2025-10-26T02:50:49.214559,GAZE,756,811,26994,790
2025-10-26T02:50:49.541819,GAZE,813,812,27321,800
2025-10-26T02:50:49.870641,GAZE,822,834,27650,810
2025-10-26T02:50:50.212540,GAZE,835,809,27992,820
2025-10-26T02:50:50.543501,GAZE,776,804,28323,830
2025-10-26T02:50:50.883704,GAZE,824,839,28663,840
2025-10-26T02:50:51.211495,GAZE,936,800,28991,850
2025-10-26T02:50:51.552173,GAZE,879,803,29331,860
2025-10-26T02:50:51.895036,GAZE,875,817,29674,870
2025-10-26T02:50:52.206234,GAZE,902,776,29985,880
2025-10-26T02:50:52.548602,GAZE,888,787,30328,890
2025-10-26T02:50:52.878683,GAZE,931,797,30658,900
2025-10-26T02:50:53.219114,GAZE,988,771,30998,910
2025-10-26T02:50:53.546825,GAZE,997,785,31326,920
2025-10-26T02:50:53.884461,GAZE,931,807,31664,930
2025-10-26T02:50:54.224456,GAZE,999,829,32004,940
2025-10-26T02:50:54.565986,GAZE,1032,775,32345,950
2025-10-26T02:50:54.875307,GAZE,938,667,32654,960
2025-10-26T02:50:54.997161,BLINK,-1,-1,32776,12
2025-10-26T02:50:55.063479,BLINK,-1,-1,32843,13
2025-10-26T02:50:55.093864,BLINK,-1,-1,32873,14
2025-10-26T02:50:55.127620,BLINK,-1,-1,32907,15
2025-10-26T02:50:55.159091,BLINK,-1,-1,32938,16
2025-10-26T02:50:55.396475,GAZE,1644,0,33176,970
2025-10-26T02:50:55.714507,GAZE,1920,0,33494,980
2025-10-26T02:50:56.043310,GAZE,1569,0,33822,990
2025-10-26T02:50:56.196350,BLINK,-1,-1,33975,17
2025-10-26T02:50:56.213995,BLINK,-1,-1,33993,18
2025-10-26T02:50:56.261363,BLINK,-1,-1,34040,19
2025-10-26T02:50:56.293115,BLINK,-1,-1,34072,20
2025-10-26T02:50:56.328685,BLINK,-1,-1,34108,21
2025-10-26T02:50:56.352659,BLINK,-1,-1,34132,22
2025-10-26T02:50:56.384483,BLINK,-1,-1,34164,23
2025-10-26T02:50:56.415273,BLINK,-1,-1,34194,24
2025-10-26T02:50:56.448575,BLINK,-1,-1,34228,25
2025-10-26T02:50:56.479521,BLINK,-1,-1,34259,26
2025-10-26T02:50:56.512501,BLINK,-1,-1,34292,27
2025-10-26T02:50:56.544293,BLINK,-1,-1,34323,28
2025-10-26T02:50:56.597021,BLINK,-1,-1,34376,29
2025-10-26T02:50:56.621547,BLINK,-1,-1,34401,30
2025-10-26T02:50:56.663227,BLINK,-1,-1,34442,31
2025-10-26T02:50:56.683673,BLINK,-1,-1,34463,32
2025-10-26T02:50:56.715340,BLINK,-1,-1,34494,33
2025-10-26T02:50:56.746515,BLINK,-1,-1,34526,34
2025-10-26T02:50:56.779895,BLINK,-1,-1,34559,35
2025-10-26T02:50:57.026833,GAZE,820,1080,34806,1000
2025-10-26T02:50:57.334532,GAZE,775,1080,35114,1010
2025-10-26T02:50:57.692267,GAZE,918,1080,35471,1020
2025-10-26T02:50:58.016542,GAZE,1059,1080,35796,1030
2025-10-26T02:50:58.344414,GAZE,1089,1074,36124,1040
2025-10-26T02:50:58.697247,GAZE,1091,1080,36476,1050
2025-10-26T02:50:59.014356,GAZE,1117,1080,36793,1060
2025-10-26T02:50:59.333659,GAZE,1093,1059,37113,1070
2025-10-26T02:50:59.675199,GAZE,1036,1080,37454,1080
2025-10-26T02:51:00.004961,GAZE,1059,1038,37784,1090
2025-10-26T02:51:00.344043,GAZE,1136,936,38123,1100
2025-10-26T02:51:00.680082,GAZE,1126,884,38459,1110
2025-10-26T02:51:01.014667,GAZE,1124,942,38794,1120
2025-10-26T02:51:01.349912,GAZE,1075,949,39129,1130
2025-10-26T02:51:01.686397,GAZE,940,953,39466,1140
2025-10-26T02:51:02.024510,GAZE,893,989,39804,1150
2025-10-26T02:51:02.342131,GAZE,855,834,40121,1160
2025-10-26T02:51:02.676936,GAZE,942,957,40456,1170
2025-10-26T02:51:03.015936,GAZE,1048,933,40795,1180
2025-10-26T02:51:03.355577,GAZE,1044,890,41135,1190
2025-10-26T02:51:03.686995,GAZE,990,850,41466,1200
2025-10-26T02:51:04.027360,GAZE,1029,807,41806,1210
2025-10-26T02:51:04.358618,GAZE,1061,808,42138,1220
2025-10-26T02:51:04.694784,GAZE,1021,693,42474,1230
2025-10-26T02:51:05.032102,GAZE,977,707,42811,1240
2025-10-26T02:51:05.349330,GAZE,968,764,43128,1250
2025-10-26T02:51:05.688968,GAZE,1005,755,43468,1260
2025-10-26T02:51:06.028048,GAZE,971,790,43807,1270
