Blink Tracking Session: phase1_cycle1_1761457622410
Start Time: 2025-10-26T01:47:02.414483
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T01:47:27.358970, 1, 24.95, 0.281
2025-10-26T01:47:33.182071, 2, 30.77, 0.266
2025-10-26T01:47:33.715781, 3, 31.3, 0.213
2025-10-26T01:47:34.467904, 4, 32.05, 0.276
2025-10-26T01:47:37.466226, 5, 35.05, 0.234
2025-10-26T01:47:37.976059, 6, 35.56, 0.420
2025-10-26T01:47:44.925849, 7, 42.51, 0.246
2025-10-26T01:47:45.719163, 8, 43.31, 0.211
2025-10-26T01:47:45.911358, 9, 43.5, 0.216
2025-10-26T01:48:00.321996, 10, 57.91, 0.221
2025-10-26T01:48:03.065497, 11, 60.65, 0.210
2025-10-26T01:53:51.511489, 12, 409.1, 0.215
2025-10-26T01:53:52.191307, 13, 409.78, 0.286
2025-10-26T01:53:53.517040, 14, 411.1, 0.263
2025-10-26T01:53:54.474464, 15, 412.06, 0.224
