Head Tracking Session: phase1_cycle1_1761456266352
Start Time: 2025-10-26T01:24:26.346352
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761456273531, 0.00, 0.00, 0.00, Forward
1761456273571, -0.83, -7.05, 2.01, Forward
1761456273626, -0.88, -9.67, 3.03, Forward
1761456273673, 0.42, -13.04, 4.11, Left
1761456273716, 1.12, -14.95, 4.82, Left
1761456273759, 1.66, -17.28, 5.72, Left
1761456273818, 1.48, -18.23, 5.69, Left
1761456273871, 1.30, -15.92, 5.57, Left
1761456273918, 0.67, -16.19, 5.36, Left
1761456273968, -0.59, -16.27, 5.09, Left
1761456274022, -1.98, -16.69, 5.26, Left
1761456274077, -3.30, -14.67, 5.02, Left
1761456274123, -4.62, -12.50, 4.64, Left
1761456274168, -6.26, -8.87, 3.87, Forward
1761456274210, -7.76, -5.34, 3.06, Forward
1761456274263, -9.39, -1.20, 2.13, Forward
1761456274311, -10.37, 2.78, 1.55, Down
1761456274355, -11.29, 3.71, 0.89, Down
1761456274411, -12.40, 5.53, 0.39, Down
1761456274458, -12.83, 7.16, 0.14, Down
1761456274501, -11.61, 6.83, 0.08, Down
1761456274547, -10.05, 5.38, 0.07, Down
1761456274593, -8.89, 3.47, 0.02, Forward
1761456274639, -7.96, 0.87, 0.17, Forward
1761456274686, -8.29, -0.96, 0.16, Forward
1761456274748, -6.60, -1.91, 0.07, Forward
1761456274794, -5.28, -3.14, 0.09, Forward
1761456274841, -3.59, -1.97, -0.34, Forward
1761456274888, -1.69, 0.02, -0.70, Forward
1761456274938, -2.25, 4.20, -17.43, Forward
1761456274987, -4.31, 8.97, -34.36, Forward
1761456275034, -6.68, 15.74, -50.89, Right
1761456275086, -9.32, 23.56, -66.83, Right
1761456275139, -14.27, 21.00, -49.79, Right
1761456275204, -16.36, 28.47, -64.87, Right
1761456275254, -21.91, 24.46, -47.75, Right
1761456275301, -15.39, 20.99, -42.09, Right
1761456275357, -13.46, 11.85, -36.45, Right
1761456275409, -11.04, 2.83, -31.34, Down
1761456275457, -14.83, -5.56, 2.18, Down
1761456275507, -15.53, -6.76, 2.90, Down
1761456275557, -6.41, -15.85, 23.80, Left
1761456275622, -9.08, -26.45, 56.61, Left
1761456275677, -9.02, -26.08, 56.64, Left
1761456275735, -2.61, -39.98, 76.97, Left
1761456275784, 5.45, -43.39, 63.65, Left
1761456275834, 0.51, -35.11, 55.63, Left
1761456275888, -5.30, -24.65, 34.30, Left
1761456275940, -13.32, -21.31, 46.64, Left
1761456275991, -11.09, -9.98, 14.72, Down
1761456276039, -11.42, -5.71, 15.01, Down
1761456276084, -22.47, 4.63, -4.03, Down
1761456276140, -19.71, 12.75, -37.06, Right
1761456276184, -11.67, 9.18, -49.42, Down
1761456276237, -19.58, 13.03, -37.17, Right
1761456276288, -27.71, 16.71, -23.76, Right
1761456276340, -26.81, 4.44, -17.05, Down
1761456276389, -28.80, -1.97, 16.77, Down
1761456276439, -29.01, -1.90, 16.95, Down
1761456276487, -28.91, -1.95, 17.00, Down
1761456276537, -30.55, -12.52, 50.19, Left
1761456276586, -23.46, -26.84, 68.82, Left
1761456276633, -17.63, -38.07, 89.00, Left
1761456276682, -17.69, -38.37, 85.74, Left
1761456276729, -17.90, -38.54, 85.39, Left
1761456276778, -17.20, -31.56, 52.46, Left
1761456276828, -25.39, -28.08, 65.19, Left
1761456276878, -25.48, -28.50, 64.92, Left
1761456276939, -25.02, -27.58, 65.34, Left
1761456276985, -26.68, -38.12, 97.64, Left
1761456277040, -20.09, -29.55, 78.22, Left
1761456277090, -27.89, -25.43, 91.52, Left
1761456277142, -35.15, -11.16, 72.65, Left
1761456277191, -42.06, 3.32, 55.97, Down
1761456277239, -33.90, -0.55, 42.27, Down
1761456277284, -22.51, -7.17, 64.68, Down
1761456277333, -14.19, -10.59, 52.20, Left
1761456277384, -3.45, -7.22, 38.43, Forward
1761456277433, 4.35, -11.60, 24.92, Left
1761456277488, 16.27, -8.07, 11.29, Up
1761456277536, 17.62, -20.30, 16.96, Left
1761456277592, 25.55, -24.35, 4.02, Left
1761456277641, 25.88, -28.77, 1.46, Left
1761456277686, 32.98, -42.92, 21.71, Left
1761456278001, 26.55, -28.84, 2.60, Left
1761456278061, 14.33, -29.49, 12.50, Left
1761456278104, 6.04, -26.32, 24.15, Left
1761456278156, 2.68, -21.12, 17.61, Left
1761456278203, -5.91, -17.87, 29.81, Left
1761456278538, -17.17, -16.38, 25.89, Left
1761456278628, -20.24, -9.29, 22.10, Down
1761456278677, -27.10, 1.69, 2.31, Down
1761456278735, -26.03, 6.02, 4.59, Down
1761456278782, -34.97, 8.73, 16.67, Down
1761456278818, -28.58, 7.47, 30.08, Down
1761456278875, -25.73, 18.17, -1.96, Right
1761456278918, -22.81, 29.05, -33.75, Right
1761456278969, -28.21, 30.92, -46.14, Right
1761456279023, -28.26, 30.61, -45.79, Right
1761456279074, -29.51, 24.66, -28.88, Right
1761456279117, -33.84, 23.26, -25.59, Right
1761456279169, -32.46, 26.78, -26.41, Right
1761456279219, -33.90, 22.82, -27.92, Right
1761456279274, -25.36, 32.04, -47.82, Right
1761456279319, -25.74, 31.53, -48.04, Right
1761456279369, -25.97, 31.51, -48.78, Right
1761456279419, -21.34, 29.39, -35.92, Right
1761456279465, -20.05, 29.43, -37.04, Right
1761456279507, -16.49, 40.66, -69.95, Right
1761456279556, -8.52, 49.60, -88.87, Right
1761456279609, -6.54, 57.80, -108.60, Right
1761456279654, -9.15, 47.52, -75.18, Right
1761456279703, -10.44, 40.65, -41.74, Right
1761456279754, -18.47, 32.15, -22.03, Right
1761456279803, -23.61, 33.99, -35.52, Right
1761456279850, -23.65, 33.91, -35.38, Right
1761456279903, -28.21, 35.86, -48.91, Right
1761456279952, -24.42, 33.18, -34.53, Right
1761456280005, -24.89, 32.99, -34.36, Right
1761456280055, -28.97, 35.53, -48.55, Right
1761456280099, -29.08, 35.92, -47.99, Right
1761456280149, -17.10, 35.55, -62.16, Right
1761456280200, -11.56, 39.27, -79.08, Right
1761456280252, -4.05, 47.81, -98.29, Right
1761456280299, -1.43, 40.79, -82.81, Right
1761456280352, -0.80, 41.00, -82.91, Right
1761456280403, -3.94, 31.13, -49.38, Right
1761456280455, -8.02, 33.76, -63.17, Right
1761456280509, 1.62, 23.71, -43.35, Right
1761456280562, 0.68, 23.79, -42.46, Right
1761456280608, 5.44, 21.69, -28.90, Right
1761456280656, -4.50, 32.10, -47.45, Right
1761456280700, -9.93, 28.71, -30.29, Right
