Head Tracking Session: phase1_cycle1_1761466190518
Start Time: 2025-10-26T04:09:50.521618
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761466193911, 0.00, 0.00, 0.00, Forward
1761466193960, 0.54, 0.17, -0.47, Forward
1761466194011, 0.48, 0.70, -0.66, Forward
1761466194069, 0.55, 0.26, -0.66, Forward
1761466194116, 0.73, 0.74, -0.86, Forward
1761466194172, 0.93, 1.05, -1.02, Forward
1761466194217, 1.07, 1.70, -1.37, Forward
1761466194263, 1.18, 1.50, -1.36, Forward
1761466194326, 1.26, 2.07, -1.72, Forward
1761466194374, 1.42, 2.57, -2.05, Forward
1761466194422, 1.70, 3.20, -2.53, Forward
1761466194467, 1.91, 3.21, -2.87, Forward
1761466194513, 2.27, 3.09, -3.19, Forward
1761466194595, 2.51, 3.47, -3.66, Forward
1761466194650, 2.68, 2.83, -3.83, Forward
1761466194695, 2.74, 2.12, -3.96, Forward
1761466194744, 2.93, -0.37, -3.54, Forward
1761466194792, 3.12, -1.47, -3.63, Forward
1761466194868, 3.44, -4.91, -2.80, Forward
1761466194913, 3.71, -6.98, -2.42, Forward
1761466194962, 3.99, -8.98, -2.07, Forward
1761466195012, 4.18, -9.12, -2.19, Forward
1761466195065, 4.50, -10.04, -2.12, Left
1761466195129, 4.49, -13.36, -1.25, Left
1761466195182, 4.52, -16.18, -0.57, Left
1761466195229, 4.61, -18.93, 0.10, Left
1761466195281, 4.76, -19.88, 0.32, Left
1761466195335, 4.92, -21.50, 0.81, Left
1761466195402, 4.94, -22.15, 0.74, Left
1761466195448, 4.94, -23.97, 1.09, Left
1761466195503, 4.86, -25.86, 1.43, Left
1761466195550, 4.68, -28.03, 1.87, Left
1761466195596, 4.45, -30.06, 2.32, Left
1761466195675, 4.52, -25.45, 0.65, Left
1761466195727, 4.71, -20.53, -1.11, Left
1761466195777, 4.80, -18.85, -1.24, Left
1761466195829, 4.45, -17.46, -1.80, Left
1761466195879, 4.04, -16.27, -2.33, Left
1761466195926, 3.52, -16.46, -2.15, Left
1761466196066, 2.96, -15.70, -2.25, Left
1761466196111, 2.43, -15.17, -2.27, Left
1761466196163, 2.08, -15.63, -1.94, Left
1761466196210, 1.66, -15.45, -1.80, Left
1761466196263, 1.25, -19.74, -0.23, Left
1761466196324, 0.52, -24.28, 1.35, Left
1761466196375, -0.13, -25.83, 1.33, Left
1761466196426, -0.53, -27.38, 1.80, Left
1761466196477, -0.60, -29.44, 2.37, Left
1761466196533, -0.68, -29.48, 2.18, Left
1761466196608, -0.62, -29.68, 2.27, Left
1761466196664, -0.43, -29.94, 2.42, Left
1761466196725, -0.24, -30.21, 2.57, Left
1761466196776, -0.60, -32.08, 2.91, Left
1761466196828, -0.08, -32.40, 3.13, Left
1761466196877, 0.64, -31.18, 2.74, Left
1761466197000, 1.52, -30.87, 2.84, Left
1761466197050, 2.28, -30.74, 2.97, Left
1761466197100, 2.67, -29.66, 2.87, Left
1761466197148, 3.12, -28.71, 2.92, Left
1761466197200, 3.59, -29.00, 3.11, Left
1761466197266, 3.73, -28.94, 3.14, Left
1761466197311, 3.85, -28.83, 3.17, Left
1761466197362, 4.43, -27.18, 2.97, Left
1761466197412, 4.41, -26.87, 2.93, Left
1761466197465, 4.31, -28.23, 3.63, Left
1761466197521, 3.99, -28.47, 3.84, Left
1761466197565, 3.76, -28.40, 3.95, Left
1761466197615, 3.67, -28.72, 4.18, Left
1761466197671, 3.66, -28.85, 4.31, Left
1761466197719, 4.00, -27.59, 3.99, Left
1761466197800, 4.36, -26.75, 3.83, Left
1761466197845, 4.69, -25.57, 3.53, Left
1761466197892, 4.97, -24.44, 3.29, Left
1761466197944, 5.07, -24.23, 3.21, Left
1761466197995, 5.11, -24.12, 3.17, Left
1761466198065, 5.18, -23.67, 2.93, Left
1761466198118, 5.28, -23.34, 2.76, Left
1761466198165, 5.35, -22.84, 2.50, Left
1761466198217, 5.34, -22.00, 2.24, Left
1761466198267, 4.85, -22.35, 2.37, Left
1761466198327, 4.65, -19.35, 1.76, Left
1761466198382, 4.42, -16.99, 1.39, Left
1761466198433, 4.22, -14.53, 0.98, Left
1761466198482, 4.65, -10.51, 0.19, Left
1761466198527, 4.94, -6.24, -0.57, Forward
1761466198595, 5.04, -1.93, -1.31, Forward
1761466198643, 5.21, 2.47, -2.09, Forward
1761466198691, 5.31, 6.71, -2.83, Forward
1761466198741, 5.26, 10.05, -3.65, Right
1761466198792, 5.01, 13.54, -4.43, Right
1761466198868, 4.60, 13.19, -4.92, Right
1761466198914, 4.15, 13.09, -5.48, Right
1761466198965, 3.84, 12.98, -6.04, Right
1761466199012, 3.01, 11.22, -6.51, Right
1761466199060, 2.34, 9.47, -7.13, Forward
1761466199125, 1.85, 7.96, -7.27, Forward
1761466199173, 1.14, 6.20, -7.33, Forward
1761466199222, 0.50, 4.61, -7.40, Forward
1761466199270, 0.33, 4.52, -7.12, Forward
1761466199314, 0.26, 4.20, -6.86, Forward
1761466199398, 0.17, 5.17, -6.23, Forward
1761466199445, -2.70, 5.90, -21.99, Forward
1761466199494, -2.95, 6.78, -21.26, Forward
1761466199544, -3.55, 8.73, -20.40, Forward
1761466199591, -4.19, 10.54, -19.49, Right
