Head Tracking Session: phase1_cycle1_1761456967325
Start Time: 2025-10-26T01:36:07.328540
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761456970743, 0.00, 0.00, 0.00, Forward
1761456970789, -1.08, -2.12, -0.04, Forward
1761456970839, -0.92, -2.40, -0.02, Forward
1761456970886, -0.90, -3.04, 0.03, Forward
1761456971007, -0.69, -3.27, -0.02, Forward
1761456971052, -0.70, -3.35, -0.05, Forward
1761456971101, -0.71, -3.42, -0.07, Forward
1761456971151, -0.78, -3.36, -0.11, Forward
1761456971201, -0.68, -3.31, -0.16, Forward
1761456971279, -0.63, -3.42, -0.14, Forward
1761456971324, -0.73, -3.88, -0.13, Forward
1761456971370, -0.63, -3.84, -0.12, Forward
1761456971415, -0.65, -3.80, -0.16, Forward
1761456971462, -0.66, -3.61, -0.18, Forward
1761456971535, -0.80, -3.56, -0.15, Forward
1761456971581, -0.74, -3.45, -0.13, Forward
1761456971626, -0.66, -3.34, -0.12, Forward
1761456971670, -0.56, -3.40, -0.07, Forward
1761456971717, -0.69, -3.53, -0.02, Forward
1761456971804, -0.83, -3.52, 0.01, Forward
1761456971851, -0.84, -3.45, 0.05, Forward
1761456971900, -0.90, -3.65, 0.10, Forward
1761456971950, -0.99, -3.79, 0.17, Forward
1761456971999, -0.95, -4.01, 0.19, Forward
1761456972083, -0.86, -3.82, 0.11, Forward
1761456972129, -0.89, -4.05, 0.08, Forward
1761456972177, -0.95, -4.25, 0.06, Forward
1761456972221, -0.91, -4.47, 0.03, Forward
1761456972269, -0.80, -4.62, -0.01, Forward
1761456972337, -0.72, -4.82, -0.07, Forward
1761456972384, -0.66, -5.07, -0.13, Forward
1761456972434, -0.56, -5.12, -0.22, Forward
1761456972479, -0.18, -5.37, -0.23, Forward
1761456972527, 0.13, -5.31, -0.29, Forward
1761456972603, 0.30, -5.59, -0.20, Forward
1761456972650, 0.49, -5.58, -0.17, Forward
1761456972699, 0.69, -5.56, -0.13, Forward
1761456972749, 0.68, -5.51, -0.13, Forward
1761456972796, 0.73, -5.31, -0.15, Forward
1761456972875, 0.91, -5.14, -0.13, Forward
1761456972922, 1.06, -5.03, -0.11, Forward
1761456972968, 1.23, -4.86, -0.10, Forward
1761456973017, 1.05, -4.83, -0.09, Forward
1761456973068, 0.80, -5.14, -0.01, Forward
1761456973135, 0.74, -5.14, -0.06, Forward
1761456973181, 0.71, -5.31, -0.06, Forward
1761456973228, 0.65, -5.31, -0.11, Forward
1761456973271, 0.68, -5.41, -0.10, Forward
1761456973318, 0.73, -5.57, -0.08, Forward
1761456973404, 0.71, -5.59, -0.09, Forward
1761456973451, 0.69, -5.58, -0.09, Forward
1761456973499, 0.64, -5.66, -0.07, Forward
1761456973549, 0.66, -5.66, -0.09, Forward
1761456973600, 0.71, -5.47, -0.14, Forward
1761456973683, 0.93, -5.38, -0.13, Forward
1761456973732, 1.13, -5.15, -0.17, Forward
1761456973783, 1.25, -5.15, -0.19, Forward
1761456973834, 1.34, -5.18, -0.21, Forward
1761456973883, 1.39, -5.31, -0.21, Forward
1761456973936, 1.44, -5.29, -0.20, Forward
1761456973984, 1.51, -5.32, -0.24, Forward
1761456974034, 1.58, -5.37, -0.29, Forward
1761456974083, 1.58, -5.18, -0.30, Forward
1761456974134, 1.57, -5.18, -0.31, Forward
1761456974204, 1.34, -5.39, -0.32, Forward
1761456974248, 1.10, -5.56, -0.31, Forward
1761456974299, 0.95, -5.69, -0.28, Forward
1761456974349, 0.83, -5.48, -0.25, Forward
1761456974397, 0.82, -5.39, -0.19, Forward
1761456974476, 0.69, -5.52, -0.12, Forward
1761456974520, 0.61, -5.60, -0.04, Forward
1761456974564, 0.47, -5.64, 0.04, Forward
1761456974611, 0.50, -5.74, 0.05, Forward
1761456974654, 0.54, -5.73, 0.07, Forward
1761456974734, 0.44, -5.47, 0.04, Forward
1761456974781, 0.37, -5.51, 0.03, Forward
1761456974827, 0.43, -5.45, 0.01, Forward
1761456974872, 0.39, -5.62, -0.02, Forward
1761456974917, 0.14, -5.65, -0.03, Forward
1761456975005, 0.01, -5.76, -0.01, Forward
1761456975055, -0.16, -5.80, 0.05, Forward
1761456975103, -0.28, -5.91, 0.09, Forward
1761456975148, -0.32, -6.01, 0.21, Forward
