Head Tracking Session: phase1_cycle1_1761466871763
Start Time: 2025-10-26T04:21:11.769743
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761466875271, 0.00, 0.00, 0.00, Forward
1761466875320, 0.18, 0.04, 0.06, Forward
1761466875369, 0.25, -0.06, 0.07, Forward
1761466875422, 0.38, -0.37, 0.17, Forward
1761466875522, 0.34, -0.75, 0.21, Forward
1761466875573, 0.32, -0.97, 0.23, Forward
1761466875623, 0.32, -1.12, 0.24, Forward
1761466875673, 0.18, -0.96, 0.21, Forward
1761466875724, 0.21, -0.86, 0.23, Forward
1761466875786, 0.10, -0.91, 0.24, Forward
1761466875838, 0.02, -1.17, 0.27, Forward
1761466875888, -0.13, -1.36, 0.30, Forward
1761466875937, -0.13, -1.10, 0.30, Forward
1761466875992, -0.31, -0.78, 0.23, Forward
1761466876050, -0.20, -0.46, 0.25, Forward
1761466876108, -0.15, -0.04, 0.25, Forward
1761466876163, -0.09, 0.45, 0.26, Forward
1761466876213, -0.01, 0.48, 0.36, Forward
1761466876258, -0.00, 0.50, 0.45, Forward
1761466876314, 0.14, 0.70, 0.55, Forward
1761466876371, 0.23, 1.10, 0.60, Forward
1761466876422, 0.41, 1.34, 0.69, Forward
1761466876475, 0.43, 1.22, 0.81, Forward
1761466876522, 0.55, 1.17, 0.95, Forward
1761466876580, 0.46, 1.06, 1.02, Forward
1761466876634, 0.41, 0.83, 1.12, Forward
1761466876687, 0.33, 0.55, 1.20, Forward
1761466876739, 0.44, 0.74, 1.18, Forward
1761466876791, 0.49, 0.89, 1.11, Forward
1761466876842, 0.53, 0.95, 1.06, Forward
1761466876893, 0.57, 1.00, 1.03, Forward
1761466876944, 0.57, 1.06, 0.99, Forward
1761466876993, 0.56, 1.13, 0.93, Forward
1761466877044, 0.61, 1.17, 0.88, Forward
1761466877116, 0.70, 1.37, 0.86, Forward
1761466877175, 0.74, 1.54, 0.81, Forward
1761466877229, 0.78, 1.71, 0.76, Forward
1761466877280, 0.82, 1.57, 0.75, Forward
1761466877328, 0.86, 1.50, 0.75, Forward
1761466877380, 0.95, 1.51, 0.75, Forward
1761466877429, 0.96, 1.49, 0.73, Forward
1761466877474, 0.98, 1.52, 0.72, Forward
1761466877525, 1.06, 1.45, 0.69, Forward
1761466877578, 1.18, 1.40, 0.68, Forward
1761466877646, 1.19, 1.51, 0.60, Forward
1761466877701, 1.28, 1.70, 0.54, Forward
1761466877758, 1.35, 1.81, 0.49, Forward
1761466877813, 1.31, 1.74, 0.52, Forward
1761466877876, 1.28, 1.70, 0.51, Forward
1761466877930, 1.25, 1.80, 0.48, Forward
1761466878043, 1.24, 1.80, 0.45, Forward
1761466878090, 1.25, 1.78, 0.43, Forward
1761466878143, 1.20, 1.79, 0.45, Forward
1761466878191, 1.09, 2.09, 0.38, Forward
1761466878239, 1.03, 2.24, 0.34, Forward
1761466878310, 0.96, 2.24, 0.33, Forward
1761466878356, 0.88, 2.31, 0.31, Forward
1761466878406, 0.81, 2.62, 0.23, Forward
1761466878457, 0.84, 2.77, 0.19, Forward
1761466878506, 0.76, 2.66, 0.20, Forward
1761466878581, 0.81, 2.61, 0.22, Forward
1761466878628, 0.80, 2.65, 0.22, Forward
1761466878673, 0.78, 2.72, 0.21, Forward
1761466878722, 0.79, 2.44, 0.27, Forward
1761466878772, 0.81, 2.15, 0.34, Forward
1761466878838, 0.85, 2.07, 0.38, Forward
1761466878884, 0.92, 1.97, 0.42, Forward
1761466878930, 1.01, 1.93, 0.43, Forward
1761466878982, 1.00, 1.96, 0.43, Forward
1761466879040, 1.07, 1.94, 0.42, Forward
1761466879114, 1.08, 1.79, 0.42, Forward
1761466879170, 1.07, 1.67, 0.40, Forward
1761466879221, 1.08, 1.52, 0.41, Forward
1761466879269, 1.17, 1.39, 0.43, Forward
1761466879315, 1.23, 1.36, 0.43, Forward
1761466879385, 1.24, 1.13, 0.44, Forward
1761466879431, 1.24, 0.96, 0.45, Forward
1761466879479, 1.22, 0.70, 0.49, Forward
1761466879525, 1.16, 0.86, 0.45, Forward
1761466879572, 1.11, 1.16, 0.42, Forward
1761466879641, 1.08, 1.33, 0.41, Forward
1761466879694, 1.10, 1.37, 0.42, Forward
1761466879748, 1.07, 1.43, 0.42, Forward
1761466879804, 0.99, 1.44, 0.43, Forward
1761466879855, 0.92, 1.40, 0.49, Forward
1761466879923, 0.81, 1.23, 0.58, Forward
1761466879976, 0.73, 1.06, 0.66, Forward
1761466880039, 0.63, 0.96, 0.74, Forward
1761466880089, 0.57, 0.49, 0.87, Forward
1761466880139, 0.52, 0.01, 1.00, Forward
1761466880189, 0.45, -0.22, 1.10, Forward
1761466880318, 0.37, -0.47, 1.18, Forward
1761466880365, 0.27, -0.79, 1.27, Forward
1761466880416, 0.14, -0.94, 1.30, Forward
1761466880462, 0.10, -1.04, 1.32, Forward
1761466880511, 0.09, -1.01, 1.30, Forward
1761466880585, 0.10, -1.05, 1.30, Forward
1761466880630, 0.14, -1.10, 1.31, Forward
1761466880675, 0.20, -1.13, 1.34, Forward
1761466880723, 0.22, -1.18, 1.36, Forward
1761466880769, 0.24, -1.22, 1.37, Forward
1761466880850, 0.31, -0.94, 1.34, Forward
1761466880902, 0.40, -0.64, 1.29, Forward
1761466880953, 0.49, -0.45, 1.27, Forward
1761466881005, 0.49, -0.19, 1.17, Forward
1761466881060, 0.50, 0.06, 1.08, Forward
1761466881127, 0.52, 0.11, 1.08, Forward
1761466881178, 0.51, 0.17, 1.02, Forward
1761466881228, 0.46, 0.29, 0.97, Forward
1761466881277, 0.51, 0.44, 0.94, Forward
1761466881332, 0.56, 0.62, 0.90, Forward
1761466881380, 0.54, 0.52, 0.90, Forward
1761466881433, 0.56, 0.45, 0.93, Forward
1761466881493, 0.58, 0.41, 0.95, Forward
1761466881540, 0.59, 0.36, 0.98, Forward
1761466881590, 0.61, 0.40, 0.97, Forward
1761466881640, 0.69, 0.52, 0.98, Forward
1761466881690, 0.72, 0.54, 1.00, Forward
1761466881737, 0.79, 0.63, 1.01, Forward
1761466881785, 0.76, 0.54, 1.03, Forward
1761466881835, 0.73, 0.43, 1.06, Forward
1761466881915, 0.75, 0.39, 1.09, Forward
1761466881959, 0.70, 0.30, 1.11, Forward
1761466882010, 0.68, 0.24, 1.12, Forward
1761466882060, 0.67, -0.03, 1.19, Forward
1761466882110, 0.66, -0.30, 1.26, Forward
1761466882185, 0.58, -0.48, 1.28, Forward
1761466882234, 0.44, -0.56, 1.27, Forward
1761466882285, 0.31, -0.76, 1.26, Forward
1761466882334, 0.27, -1.11, 1.28, Forward
1761466882377, 0.21, -1.36, 1.30, Forward
1761466882438, 0.02, -1.87, 1.32, Forward
1761466882488, -0.11, -2.11, 1.31, Forward
1761466882537, -0.28, -2.38, 1.31, Forward
1761466882586, -0.39, -2.79, 1.41, Forward
1761466882630, -0.49, -3.14, 1.45, Forward
1761466882717, -0.67, -3.39, 1.40, Forward
1761466882768, -0.71, -3.63, 1.44, Forward
1761466882822, -0.76, -3.87, 1.48, Forward
1761466882887, -0.80, -3.60, 1.44, Forward
1761466882946, -0.93, -3.48, 1.42, Forward
1761466883016, -0.86, -3.07, 1.39, Forward
1761466883112, -0.84, -3.26, 1.45, Forward
1761466883169, -0.75, -3.32, 1.52, Forward
1761466883216, -0.75, -3.24, 1.51, Forward
1761466883260, -0.79, -3.38, 1.60, Forward
1761466883307, -0.79, -3.34, 1.69, Forward
1761466883380, -0.88, -3.52, 1.79, Forward
1761466883422, -0.94, -3.65, 1.86, Forward
1761466883470, -1.05, -4.00, 1.97, Forward
1761466883518, -1.07, -4.41, 2.10, Forward
1761466883564, -1.23, -4.85, 2.23, Forward
