Head Tracking Session: phase1_cycle1_1761476570211
Start Time: 2025-10-26T07:02:50.217076
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761476573246, 0.00, 0.00, 0.00, Forward
1761476573294, 8.89, 0.83, -0.39, Forward
1761476573335, 10.89, -0.61, 0.27, Up
1761476573380, 13.38, -0.86, -0.06, Up
1761476573428, 14.11, -0.30, -0.28, Up
1761476573472, 14.74, -0.27, -0.50, Up
1761476573558, 15.74, -0.71, -0.32, Up
1761476573604, 15.76, -0.93, -0.39, Up
1761476573652, 15.92, -1.23, -0.45, Up
1761476573699, 16.06, -0.71, -0.63, Up
1761476573747, 17.61, -0.46, -0.76, Up
1761476573795, 17.62, -0.66, -0.93, Up
1761476573869, 17.09, 0.40, -1.91, Up
1761476573923, 15.31, 1.61, -2.59, Up
1761476573970, 15.28, 2.52, -3.42, Up
1761476574053, 15.19, 3.38, -3.92, Up
1761476574101, 14.58, 4.07, -4.51, Up
1761476574153, 14.47, 4.90, -5.03, Up
1761476574201, 13.10, 6.48, -5.93, Up
1761476574252, 11.73, 7.52, -6.76, Up
1761476574302, 10.70, 8.29, -7.33, Up
1761476574368, 8.61, 8.99, -7.54, Forward
1761476574413, 7.95, 8.90, -7.28, Forward
1761476574466, 8.26, 8.99, -7.10, Forward
1761476574558, 6.32, 8.19, -6.64, Forward
1761476574610, 4.39, 7.68, -6.32, Forward
1761476574666, 2.49, 7.66, -6.27, Forward
1761476574715, 0.23, 7.86, -6.35, Forward
1761476574766, -0.65, 7.54, -6.15, Forward
1761476574813, -1.06, 6.77, -5.50, Forward
1761476574882, -1.62, 6.35, -5.03, Forward
1761476574928, -1.49, 6.22, -4.80, Forward
1761476574981, -1.73, 6.47, -4.62, Forward
1761476575066, -2.15, 6.23, -4.25, Forward
1761476575117, -1.84, 6.16, -3.78, Forward
1761476575167, -1.51, 6.24, -3.52, Forward
1761476575217, -1.16, 6.55, -2.99, Forward
1761476575266, -0.33, 6.21, -2.19, Forward
1761476575321, 0.24, 5.77, -1.29, Forward
1761476575370, 0.84, 5.38, -0.86, Forward
1761476575420, 1.29, 5.31, -0.54, Forward
1761476575470, 1.97, 5.34, -0.32, Forward
1761476575517, 2.13, 5.20, -0.17, Forward
1761476575567, 2.29, 4.53, 0.05, Forward
1761476575619, 2.38, 4.62, 0.15, Forward
1761476575669, 2.56, 4.48, 0.21, Forward
1761476575720, 2.69, 4.29, 0.13, Forward
1761476575763, 3.36, 3.43, 0.11, Forward
1761476575864, 4.03, 3.16, 0.02, Forward
1761476575910, 4.16, 2.89, 0.09, Forward
1761476575958, 4.35, 2.15, 0.17, Forward
1761476576013, 4.39, 1.48, 0.28, Forward
1761476576059, 4.71, 0.26, 0.83, Forward
1761476576109, 4.99, 0.04, 0.78, Forward
1761476576151, 5.59, -0.66, 0.86, Forward
1761476576194, 6.17, -1.28, 0.93, Forward
1761476576242, 6.86, -1.84, 1.02, Forward
1761476576288, 6.75, -1.34, 0.81, Forward
1761476576334, 6.70, -1.32, 0.53, Forward
1761476576379, 7.04, -1.35, 0.60, Forward
1761476576452, 7.75, -0.80, 0.34, Forward
1761476576496, 8.37, -0.54, 0.17, Forward
1761476576547, 9.01, 0.18, -0.22, Forward
1761476576591, 9.49, 0.21, 0.00, Forward
1761476576637, 9.84, 0.67, -0.06, Forward
1761476576685, 10.04, 0.86, -0.15, Up
1761476576757, 10.30, 0.51, 0.13, Up
1761476576804, 10.91, 0.19, 0.44, Up
1761476576851, 11.42, -0.13, 0.92, Up
1761476576894, 11.63, -1.67, 1.45, Up
1761476576940, 11.58, -3.20, 2.18, Up
1761476580078, 12.35, -3.21, 2.05, Up
1761476580122, 13.10, -3.33, 1.90, Up
1761476580166, 13.94, -3.36, 1.58, Up
1761476580247, 15.10, -3.61, 1.27, Up
1761476580292, 16.33, -3.66, 1.14, Up
1761476580340, 17.42, -3.28, 0.60, Up
1761476580385, 18.10, -3.33, 0.43, Up
1761476580432, 18.65, -3.46, 0.20, Up
1761476580476, 19.08, -3.89, 0.29, Up
1761476583868, 19.21, -3.45, 0.06, Up
1761476583913, 18.62, -4.25, 0.56, Up
1761476583956, 17.91, -5.10, 1.15, Up
1761476584003, 17.20, -5.97, 1.55, Up
1761476584050, 16.28, -6.64, 2.09, Up
1761476584096, 13.88, -8.58, 2.93, Up
1761476584153, 12.93, -10.78, 3.84, Left
1761476584200, 12.48, -12.59, 4.53, Left
1761476584247, 12.12, -14.43, 5.29, Left
1761476584291, 8.01, -16.87, 21.11, Left
1761476584337, 4.00, -20.63, 37.19, Left
1761476584382, 3.70, -22.77, 37.67, Left
1761476584427, 0.60, -27.04, 53.75, Left
1761476584471, 1.57, -29.56, 54.77, Left
1761476584514, 2.65, -32.29, 56.06, Left
1761476584560, -1.24, -31.47, 72.10, Left
1761476585351, -0.43, -29.13, 71.00, Left
1761476585396, 0.13, -27.32, 70.09, Left
1761476585436, 0.60, -25.47, 69.13, Left
1761476585482, 4.86, -21.31, 52.42, Left
1761476585525, 9.29, -17.01, 35.78, Left
1761476585569, 10.04, -14.43, 34.84, Left
1761476585613, 13.66, -9.92, 18.32, Up
1761476585657, 13.23, -7.11, 17.11, Up
1761476585699, 12.61, -4.10, 15.48, Up
1761476585752, 18.57, -3.10, -1.25, Up
1761476585797, 18.57, -3.65, -0.85, Up
1761476585842, 18.64, -3.76, -0.63, Up
1761476585888, 19.25, -5.36, 0.33, Up
1761476585935, 19.89, -7.00, 1.26, Up
1761476585981, 20.73, -8.66, 2.23, Up
1761476586023, 21.61, -10.66, 3.90, Left
1761476586070, 17.71, -15.63, 20.80, Left
1761476586117, 18.24, -17.98, 22.74, Left
1761476588650, 18.01, -16.96, 22.25, Left
1761476588695, 17.61, -16.79, 22.00, Left
1761476588737, 17.13, -16.64, 21.82, Left
1761476588787, 16.57, -16.36, 21.46, Left
1761476588831, 15.62, -14.62, 20.31, Left
1761476588883, 14.74, -12.79, 19.17, Left
1761476588930, 13.59, -11.24, 18.11, Left
1761476588970, 12.79, -9.10, 16.31, Up
1761476589016, 16.84, -3.69, -0.74, Up
1761476589058, 16.42, -0.49, -3.14, Up
1761476589106, 16.70, -0.65, -3.10, Up
1761476589150, 16.89, -0.30, -3.26, Up
1761476589197, 16.88, 0.56, -3.53, Up
1761476589243, 16.93, 0.91, -3.57, Up
1761476589290, 16.92, 1.82, -3.74, Up
1761476589334, 16.86, 2.70, -3.93, Up
1761476589378, 16.84, 3.99, -4.37, Up
1761476589422, 16.39, 5.21, -4.82, Up
1761476589467, 15.97, 6.33, -5.26, Up
1761476589512, 15.58, 7.05, -5.46, Up
1761476589554, 15.22, 7.82, -5.68, Up
1761476589598, 14.78, 8.07, -5.64, Up
1761476589642, 14.72, 7.90, -5.53, Up
