Head Tracking Session: phase1_cycle1_1761467868128
Start Time: 2025-10-26T04:37:48.132787
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761467871517, 0.00, 0.00, 0.00, Forward
1761467871569, 0.09, -1.53, 0.66, Forward
1761467871622, 0.08, -3.10, 1.09, Forward
1761467871672, -0.04, -1.92, 0.83, Forward
1761467871720, -0.06, -1.67, 0.82, Forward
1761467871774, 0.14, -1.47, 0.82, Forward
1761467871826, 0.12, -0.99, 0.68, Forward
1761467871871, -0.06, -0.85, 0.55, Forward
1761467871926, -0.18, -0.96, 0.51, Forward
1761467871974, -0.31, -1.14, 0.54, Forward
1761467872022, -0.46, -1.43, 0.63, Forward
1761467872073, -0.63, -1.40, 0.58, Forward
1761467872120, -0.81, -1.30, 0.52, Forward
1761467872194, -0.73, -1.28, 0.48, Forward
1761467872243, -0.91, -1.16, 0.40, Forward
1761467872290, -1.04, -0.75, 0.20, Forward
1761467872345, -1.13, 0.37, -0.14, Forward
1761467872394, -1.14, 1.19, -0.34, Forward
1761467872471, -1.34, 2.69, -0.77, Forward
1761467872522, -1.49, 3.82, -1.16, Forward
1761467872571, -1.65, 4.95, -1.55, Forward
1761467872620, -1.77, 5.77, -1.87, Forward
1761467872668, -1.87, 7.08, -2.30, Forward
1761467872728, -2.23, 7.55, -2.50, Forward
1761467872777, -2.38, 7.53, -2.57, Forward
1761467872826, -2.69, 7.20, -2.52, Forward
1761467872874, -3.09, 7.35, -2.59, Forward
1761467872925, -3.41, 8.06, -2.76, Forward
1761467873000, -3.45, 8.53, -2.87, Forward
1761467873049, -3.58, 9.50, -3.07, Forward
1761467873099, -3.70, 10.46, -3.27, Right
1761467873150, -3.63, 11.13, -3.43, Right
1761467873199, -3.70, 11.61, -3.59, Right
1761467873274, -3.85, 12.38, -3.78, Right
1761467873323, -4.03, 13.79, -4.10, Right
1761467873371, -4.16, 15.18, -4.47, Right
1761467873423, -4.25, 15.47, -4.55, Right
1761467873470, -4.29, 15.29, -4.55, Right
1761467873524, -4.71, 15.28, -4.57, Right
1761467873573, -4.91, 14.98, -4.54, Right
1761467873623, -5.12, 14.68, -4.51, Right
1761467873670, -5.56, 15.00, -4.58, Right
1761467873721, -5.98, 15.31, -4.58, Right
1761467873793, -6.42, 15.47, -4.60, Right
1761467873842, -6.76, 15.74, -4.68, Right
1761467873890, -7.14, 16.01, -4.71, Right
1761467873940, -7.40, 16.22, -4.72, Right
1761467873988, -7.78, 16.64, -4.80, Right
1761467874069, -7.94, 16.72, -4.78, Right
1761467874121, -8.21, 17.04, -4.80, Right
1761467874176, -8.47, 17.37, -4.82, Right
1761467874226, -8.53, 17.88, -4.89, Right
1761467874281, -8.53, 18.37, -4.96, Right
1761467874325, -8.44, 19.00, -5.08, Right
1761467874470, -8.44, 19.07, -5.12, Right
1761467874520, -8.45, 19.13, -5.16, Right
1761467874571, -8.40, 18.89, -5.18, Right
1761467874622, -8.42, 19.05, -5.31, Right
1761467874672, -8.27, 18.96, -5.40, Right
1761467874729, -8.12, 19.00, -5.43, Right
1761467874777, -7.95, 19.08, -5.50, Right
1761467874827, -7.99, 18.97, -5.52, Right
1761467874873, -8.08, 18.61, -5.48, Right
1761467874921, -8.06, 18.24, -5.39, Right
1761467874995, -7.92, 18.13, -5.35, Right
1761467875039, -7.85, 18.12, -5.38, Right
1761467875086, -7.85, 18.16, -5.38, Right
1761467875136, -7.70, 18.37, -5.34, Right
1761467875186, -7.67, 18.76, -5.32, Right
1761467875272, -7.71, 18.79, -5.32, Right
1761467875319, -7.66, 19.03, -5.34, Right
1761467875369, -7.64, 19.25, -5.37, Right
1761467875419, -7.44, 19.45, -5.46, Right
1761467875471, -7.36, 19.18, -5.53, Right
1761467875526, -7.28, 19.16, -5.53, Right
1761467875573, -7.26, 18.84, -5.41, Right
1761467875622, -7.23, 18.80, -5.39, Right
1761467875671, -7.23, 18.13, -5.25, Right
1761467875726, -7.20, 17.86, -5.22, Right
1761467875801, -7.09, 17.67, -5.23, Right
1761467875855, -7.09, 17.22, -5.21, Right
1761467875905, -7.07, 16.80, -5.16, Right
1761467875952, -7.03, 16.68, -5.18, Right
1761467876002, -6.94, 16.90, -5.22, Right
1761467876070, -6.91, 17.19, -5.40, Right
1761467876118, -6.76, 17.68, -5.62, Right
1761467876174, -6.62, 17.89, -5.76, Right
1761467876222, -6.48, 18.01, -5.82, Right
1761467876272, -6.40, 17.72, -5.81, Right
1761467876327, -6.25, 17.63, -5.79, Right
