Head Tracking Session: phase1_cycle1_1761479896780
Start Time: 2025-10-26T07:58:16.782408
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761479901542, 0.00, 0.00, 0.00, Forward
1761479901597, 0.16, -2.47, 0.38, Forward
1761479901642, 0.23, -3.22, 0.46, Forward
1761479901688, 0.26, -3.35, 0.36, Forward
1761479901736, 0.21, -3.42, 0.37, Forward
1761479901782, 0.39, -3.41, 0.35, Forward
1761479901828, 0.35, -3.55, 0.38, Forward
1761479901874, 0.42, -3.48, 0.36, Forward
1761479901939, 0.45, -3.51, 0.36, Forward
1761479901985, 0.48, -3.61, 0.38, Forward
1761479902029, 0.59, -4.06, 0.40, Forward
1761479902077, 0.65, -4.01, 0.38, Forward
1761479902123, 0.70, -4.10, 0.38, Forward
1761479902185, 0.76, -4.28, 0.43, Forward
1761479902232, 0.85, -4.47, 0.44, Forward
1761479902279, 0.81, -4.58, 0.47, Forward
1761479902324, 0.87, -4.59, 0.47, Forward
1761479902371, 0.83, -4.40, 0.45, Forward
1761479902418, 0.80, -4.14, 0.40, Forward
1761479902465, 0.76, -3.65, 0.33, Forward
1761479902518, 0.67, -3.16, 0.29, Forward
1761479902573, 0.62, -2.67, 0.22, Forward
1761479902621, 0.56, -2.05, 0.15, Forward
1761479902668, 0.49, -1.44, 0.07, Forward
1761479902717, 0.67, -1.15, 0.05, Forward
1761479902763, 0.87, -0.99, 0.03, Forward
1761479902810, 0.95, -0.54, -0.04, Forward
1761479902855, 1.01, -0.38, -0.05, Forward
1761479902902, 1.00, -0.21, -0.06, Forward
1761479902950, 0.99, -0.20, -0.07, Forward
1761479902993, 0.98, -0.18, -0.07, Forward
1761479903041, 0.98, -0.18, -0.07, Forward
1761479903088, 0.99, -0.20, -0.07, Forward
1761479903133, 0.93, -0.35, -0.03, Forward
1761479903190, 0.64, -0.09, -0.05, Forward
1761479903243, 0.33, -0.08, -0.05, Forward
1761479903290, 0.11, -0.17, -0.01, Forward
1761479903337, 0.09, -0.27, 0.03, Forward
1761479903383, 0.10, -0.58, 0.11, Forward
1761479903429, 0.08, -0.77, 0.17, Forward
1761479903476, -0.02, -1.49, 0.29, Forward
1761479903524, -0.10, -1.91, 0.41, Forward
1761479903567, -0.16, -2.51, 0.56, Forward
1761479903616, -0.17, -2.99, 0.67, Forward
1761479903661, -0.22, -3.80, 0.84, Forward
1761479903709, -0.22, -3.95, 0.91, Forward
1761479903756, -0.21, -4.30, 1.02, Forward
1761479903806, -0.32, -4.93, 1.14, Forward
1761479903859, -0.41, -5.46, 1.22, Forward
1761479903916, -0.43, -5.79, 1.32, Forward
1761479903961, -0.37, -5.47, 1.27, Forward
1761479904008, -0.35, -5.46, 1.25, Forward
1761479904055, -0.23, -5.16, 1.15, Forward
1761479904134, -0.13, -5.21, 1.10, Forward
1761479904183, -0.07, -4.69, 0.95, Forward
1761479904228, 0.03, -4.59, 0.85, Forward
1761479904276, 0.06, -4.33, 0.74, Forward
1761479904321, 0.18, -3.90, 0.65, Forward
1761479904371, 0.31, -3.38, 0.53, Forward
1761479904417, 0.39, -3.27, 0.46, Forward
1761479904469, 0.47, -3.12, 0.42, Forward
1761479904526, 0.56, -2.93, 0.36, Forward
1761479904573, 0.47, -2.84, 0.34, Forward
1761479904621, 0.47, -2.40, 0.28, Forward
1761479904665, 0.53, -2.35, 0.30, Forward
1761479904725, 0.48, -2.44, 0.36, Forward
1761479904774, 0.50, -2.67, 0.42, Forward
1761479904822, 0.47, -2.80, 0.45, Forward
1761479904870, 0.40, -2.80, 0.45, Forward
1761479904917, 0.32, -2.81, 0.46, Forward
1761479904965, 0.29, -2.94, 0.49, Forward
1761479905010, 0.25, -3.24, 0.57, Forward
1761479905060, 0.34, -3.33, 0.59, Forward
1761479905105, 0.36, -3.41, 0.61, Forward
1761479905152, 0.33, -3.46, 0.63, Forward
1761479905197, 0.37, -3.44, 0.63, Forward
1761479905244, 0.40, -3.43, 0.62, Forward
1761479905290, 0.37, -3.30, 0.59, Forward
1761479905337, 0.38, -3.52, 0.65, Forward
1761479905399, 0.42, -3.48, 0.64, Forward
1761479905444, 0.42, -3.48, 0.64, Forward
1761479905491, 0.41, -3.40, 0.62, Forward
1761479905539, 0.35, -3.45, 0.64, Forward
1761479905586, 0.45, -3.49, 0.65, Forward
1761479905633, 0.66, -3.62, 0.67, Forward
1761479905679, 0.74, -3.56, 0.66, Forward
1761479905736, 0.74, -3.36, 0.63, Forward
1761479905790, 0.79, -3.20, 0.62, Forward
1761479905837, 0.85, -2.71, 0.55, Forward
1761479905884, 0.88, -2.59, 0.55, Forward
1761479905929, 0.80, -2.71, 0.61, Forward
1761479906005, 0.79, -2.76, 0.66, Forward
1761479906055, 0.81, -2.94, 0.71, Forward
1761479906101, 0.64, -3.21, 0.83, Forward
1761479906149, 0.39, -3.35, 0.89, Forward
