Head Tracking Session: phase1_cycle1_1761465735198
Start Time: 2025-10-26T04:02:15.202624
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761465738532, 0.00, 0.00, 0.00, Forward
1761465738586, -0.51, -0.50, -0.03, Forward
1761465738636, 0.33, 1.64, -0.19, Forward
1761465738725, 0.58, 1.80, 0.15, Forward
1761465738776, 0.48, 1.59, 0.31, Forward
1761465738827, 0.42, 1.43, 0.44, Forward
1761465738875, 0.43, 1.32, 0.57, Forward
1761465738926, 0.42, 1.35, 0.62, Forward
1761465738983, 0.48, 1.47, 0.69, Forward
1761465739028, 0.52, 1.60, 0.74, Forward
1761465739076, 0.61, 1.85, 0.87, Forward
1761465739125, 0.72, 2.54, 0.92, Forward
1761465739179, 0.52, 2.55, 1.01, Forward
1761465739249, 0.37, 4.90, 0.68, Forward
1761465739295, 0.43, 7.61, 0.31, Forward
1761465739344, 0.44, 10.21, -0.04, Right
1761465739394, 0.47, 13.91, -0.52, Right
1761465739443, 0.43, 17.39, -0.92, Right
1761465739518, 0.45, 20.44, -1.39, Right
1761465739561, 0.59, 23.39, -1.85, Right
1761465739611, 0.72, 26.39, -2.31, Right
1761465739662, 0.76, 28.77, -2.70, Right
1761465739709, 0.92, 31.30, -3.10, Right
1761465739776, 1.09, 30.69, -3.25, Right
1761465739825, 1.09, 29.96, -3.36, Right
1761465739875, 1.14, 29.06, -3.45, Right
1761465739927, 1.26, 25.26, -3.23, Right
1761465739976, 1.24, 21.72, -3.13, Right
1761465740052, 1.27, 18.12, -2.84, Right
1761465740096, 1.08, 14.54, -2.57, Right
1761465740146, 0.92, 10.96, -2.28, Right
1761465740195, 0.70, 8.85, -1.94, Forward
1761465740243, 0.48, 6.69, -1.57, Forward
1761465740318, 0.27, 7.05, -1.21, Forward
1761465740381, 0.15, 7.69, -0.90, Forward
1761465740429, 0.02, 8.24, -0.59, Forward
1761465740476, -0.32, 10.84, -0.60, Right
1761465740525, -0.59, 13.58, -0.55, Right
1761465740578, -0.69, 13.79, -0.54, Right
1761465740626, -0.94, 14.23, -0.62, Right
