Head Tracking Session: phase1_cycle1_1761464834209
Start Time: 2025-10-26T03:47:14.214095
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761464837460, 0.00, 0.00, 0.00, Forward
1761464837508, 0.07, 3.22, 0.45, Forward
1761464837554, -0.83, 4.43, 0.58, Forward
1761464837605, -1.21, 6.34, 0.56, Forward
1761464837686, -1.35, 8.59, 0.53, Forward
1761464837737, -1.49, 10.19, 0.49, Right
1761464837787, -1.23, 11.15, 0.41, Right
1761464837872, -0.83, 12.09, 0.26, Right
1761464837920, -0.59, 12.67, 0.12, Right
1761464837971, -0.36, 13.16, 0.01, Right
1761464838020, -0.17, 14.94, -0.13, Right
1761464838067, 0.06, 16.04, -0.36, Right
1761464838118, 0.64, 17.02, -0.61, Right
1761464838181, 1.18, 17.51, -0.82, Right
1761464838229, 1.68, 17.53, -1.02, Right
1761464838274, 2.27, 17.48, -1.22, Right
1761464838322, 2.56, 17.48, -1.39, Right
1761464838371, 2.70, 17.36, -1.51, Right
1761464838421, 2.89, 17.37, -1.62, Right
1761464838488, 3.21, 17.30, -1.82, Right
1761464838534, 3.39, 17.39, -2.01, Right
1761464838580, 3.62, 17.23, -2.16, Right
1761464838671, 3.58, 17.56, -2.33, Right
1761464838720, 3.52, 17.95, -2.46, Right
1761464838771, 3.46, 18.25, -2.61, Right
1761464838820, 3.33, 18.62, -2.83, Right
1761464838872, 3.22, 19.26, -3.04, Right
1761464838922, 3.10, 19.74, -3.26, Right
1761464838976, 2.98, 19.93, -3.48, Right
1761464839022, 2.82, 19.99, -3.61, Right
1761464839073, 2.79, 19.84, -3.71, Right
1761464839125, 2.68, 20.45, -3.87, Right
1761464839176, 2.62, 20.74, -3.95, Right
1761464839225, 2.55, 21.09, -3.95, Right
1761464839286, 2.69, 20.85, -3.91, Right
1761464839336, 2.76, 20.85, -3.86, Right
1761464839389, 2.90, 20.43, -3.81, Right
1761464839471, 3.44, 19.91, -3.74, Right
1761464839520, 3.96, 19.68, -3.64, Right
1761464839570, 4.35, 19.56, -3.49, Right
1761464839620, 4.59, 19.51, -3.33, Right
1761464839674, 4.82, 18.95, -3.12, Right
1761464839725, 5.22, 18.25, -2.97, Right
1761464839777, 5.61, 17.49, -2.92, Right
1761464839826, 5.76, 17.31, -2.88, Right
1761464839876, 5.95, 16.80, -2.75, Right
1761464839924, 6.19, 16.58, -2.66, Right
1761464839973, 5.95, 16.57, -2.54, Right
1761464840023, 5.72, 16.54, -2.42, Right
1761464840087, 5.47, 16.65, -2.35, Right
1761464840136, 5.37, 16.70, -2.30, Right
1761464840187, 5.27, 16.78, -2.31, Right
1761464840271, 5.11, 16.87, -2.30, Right
1761464840321, 5.04, 16.85, -2.31, Right
