Head Tracking Session: phase1_cycle1_1761457622410
Start Time: 2025-10-26T01:47:02.413489
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761457625501, 0.00, 0.00, 0.00, Forward
1761457625556, 5.16, -0.03, 178.36, Forward
1761457625601, 13.31, -2.36, 172.14, Up
1761457625648, 17.35, -3.56, 169.17, Up
1761457625692, 16.54, -2.15, 135.04, Up
1761457625739, 16.08, -1.21, 171.99, Up
1761457625786, 15.00, 0.17, 147.81, Up
1761457625854, 10.89, -3.68, 130.37, Up
1761457626751, 12.43, -3.56, 134.06, Up
1761457626795, 13.04, -2.26, 155.90, Up
1761457626840, 11.97, -10.38, 157.09, Left
1761457626889, 7.05, -12.21, 138.81, Left
1761457626978, 6.95, -11.92, 138.87, Left
1761457627054, 7.17, -11.16, 138.68, Left
1761457627104, 7.32, -10.54, 174.34, Left
1761457627154, 2.18, -22.38, 173.03, Left
1761457631358, 2.36, -22.65, 173.31, Left
1761457631405, 0.78, -20.81, 176.56, Left
1761457631456, -2.59, -21.78, 181.64, Left
1761457631503, -3.82, -29.38, 164.45, Left
1761457631550, -3.14, -28.04, 183.56, Left
1761457632116, 2.95, -26.14, 183.58, Left
1761457632164, -0.55, -28.60, 169.37, Left
1761457632213, -5.11, -31.98, 155.35, Left
1761457632385, -2.77, -46.35, 139.62, Left
1761457632429, -1.75, -34.56, 109.60, Left
1761457632473, -4.01, -37.55, 110.99, Left
1761457632561, 3.17, -49.75, 126.45, Left
1761457632604, 6.45, -47.38, 140.31, Left
1761457632655, 9.77, -54.07, 143.50, Left
1761457632700, 18.59, -48.39, 154.14, Left
1761457632792, 13.95, -58.57, 137.14, Left
1761457632840, 10.09, -56.68, 135.89, Left
1761457632886, 13.04, -52.36, 134.32, Left
1761457632933, 10.94, -45.26, 132.37, Left
1761457632982, 15.28, -48.12, 145.35, Left
1761457633024, 18.31, -48.13, 160.67, Left
1761457633071, 16.46, -38.07, 158.56, Left
1761457633116, 15.93, -42.63, 140.71, Left
1761457633167, 13.84, -32.72, 137.16, Left
1761457633244, 6.67, -34.83, 124.10, Left
1761457633289, 10.14, -28.13, 141.64, Left
1761457633355, 15.98, -31.11, 158.95, Left
1761457633399, 15.72, -36.12, 176.59, Left
1761457633452, 15.29, -33.88, 176.67, Left
