Head Tracking Session: phase1_cycle1_1761456759345
Start Time: 2025-10-26T01:32:39.349335
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761456762508, 0.00, 0.00, 0.00, Forward
1761456762560, -0.28, -0.78, 0.16, Forward
1761456762613, -13.48, 4.92, -58.96, Down
1761456762664, -9.50, 4.99, -44.67, Forward
1761456762728, -7.53, 6.32, -36.38, Forward
1761456762775, -6.26, 7.38, -30.86, Forward
1761456762824, -5.39, 8.33, -26.98, Forward
1761456762873, -4.48, 8.53, -23.90, Forward
1761456762922, -4.04, 8.33, -21.37, Forward
1761456762971, -3.56, 8.18, -19.35, Forward
1761456763032, -3.79, 9.00, -19.46, Forward
1761456763080, -3.87, 9.80, -19.53, Forward
1761456763125, -0.02, 8.90, -1.88, Forward
1761456763174, -0.04, 9.10, -1.73, Forward
1761456763223, -0.01, 8.31, -1.35, Forward
1761456763271, -0.17, 7.12, -0.81, Forward
1761456763320, -0.58, 6.12, -0.28, Forward
1761456763367, -0.95, 5.41, 0.17, Forward
1761456763414, -1.12, 4.95, 0.55, Forward
1761456763461, -1.75, 5.07, 0.63, Forward
1761456763509, -1.80, 4.93, 0.74, Forward
1761456763557, -1.95, 5.16, 0.73, Forward
1761456763627, -1.77, 5.48, 0.65, Forward
1761456763675, -1.94, 5.66, 0.59, Forward
1761456763723, -1.84, 6.55, 0.22, Forward
1761456763830, -1.35, 7.65, -0.42, Forward
1761456763874, -0.59, 8.54, -1.06, Forward
1761456763919, -0.01, 9.44, -1.70, Forward
1761456763965, 0.24, 10.13, -2.47, Right
1761456764020, 0.97, 10.48, -3.07, Right
1761456764071, 1.28, 10.32, -3.59, Right
1761456764123, 1.54, 10.26, -4.34, Right
1761456764180, 1.45, 10.13, -5.03, Right
1761456764240, 1.42, 10.13, -5.78, Right
1761456764300, 1.13, 9.64, -6.32, Forward
1761456764355, 0.66, 9.31, -6.86, Forward
1761456764403, 0.17, 8.77, -7.29, Forward
1761456764453, -0.43, 8.20, -7.87, Forward
1761456764501, -0.66, 7.95, -8.34, Forward
1761456764548, -1.00, 6.78, -8.55, Forward
1761456764634, -1.09, 6.39, -8.85, Forward
1761456764681, -1.14, 5.77, -8.95, Forward
1761456764728, -1.11, 4.99, -9.05, Forward
1761456764823, -1.07, 4.11, -9.06, Forward
1761456764869, -0.95, 3.29, -9.04, Forward
1761456764918, -0.92, 2.49, -8.93, Forward
1761456764964, -0.81, 1.75, -8.96, Forward
1761456765008, -0.62, 1.17, -8.86, Forward
1761456765056, -0.32, 0.54, -8.84, Forward
1761456765126, 0.25, 0.61, -9.18, Forward
1761456765174, 0.84, 0.82, -9.58, Forward
1761456765222, 1.44, 0.93, -9.90, Forward
1761456765269, 1.50, 1.35, -10.42, Forward
1761456765320, 1.67, 2.12, -11.05, Forward
1761456765367, 1.48, 3.08, -11.85, Forward
1761456765429, 1.39, 4.29, -12.75, Forward
1761456765473, 1.40, 5.56, -13.58, Forward
1761456765521, 1.29, 6.84, -14.42, Forward
1761456765568, 1.01, 8.09, -15.04, Forward
1761456765615, 0.40, 9.26, -15.42, Forward
1761456765663, 0.00, 10.12, -15.53, Right
1761456765722, -0.31, 10.84, -15.49, Right
1761456765772, -0.22, 10.93, -15.12, Right
1761456765821, -0.30, 10.88, -14.74, Right
1761456765870, 0.09, 10.52, -13.89, Right
1761456765919, 0.79, 9.31, -12.93, Forward
1761456765968, 0.49, 7.97, -11.56, Forward
1761456766029, -0.07, 6.41, -10.02, Forward
1761456766074, -0.45, 4.85, -8.64, Forward
1761456766120, -0.82, 3.52, -7.25, Forward
1761456766231, -1.69, 2.48, -6.05, Forward
1761456766280, -2.30, 1.42, -4.87, Forward
1761456766324, -2.76, 0.46, -3.76, Forward
1761456766373, -3.74, -1.81, -2.10, Forward
1761456766421, -4.02, -2.24, -1.37, Forward
1761456766469, -4.92, -2.05, -0.58, Forward
1761456766520, -5.15, -1.78, -0.24, Forward
1761456766567, -5.19, -1.33, -0.10, Forward
1761456766615, -5.34, -0.94, 0.10, Forward
1761456766660, -5.56, -0.73, 0.21, Forward
1761456766705, -5.51, -0.54, 0.28, Forward
1761456766752, -6.01, 0.18, 0.10, Forward
1761456766826, -6.12, 1.09, -0.18, Forward
1761456766872, -5.75, 3.13, -0.90, Forward
1761456766920, -5.96, 3.55, -1.08, Forward
1761456766970, -5.96, 3.95, -1.42, Forward
1761456767017, -5.09, 4.36, -1.75, Forward
1761456767066, -4.15, 4.74, -2.10, Forward
1761456767133, -3.58, 5.43, -2.53, Forward
1761456767181, -2.71, 6.01, -2.89, Forward
1761456767229, -1.90, 6.45, -3.31, Forward
1761456767322, -1.04, 6.64, -3.67, Forward
1761456767371, -0.67, 6.93, -3.96, Forward
1761456767419, -0.39, 7.09, -4.21, Forward
1761456767523, -0.15, 7.32, -4.54, Forward
1761456767572, 0.16, 7.56, -4.78, Forward
1761456767621, -0.20, 7.83, -4.98, Forward
1761456767670, -0.59, 7.90, -5.10, Forward
1761456767718, -0.57, 7.78, -5.17, Forward
1761456767765, -0.55, 7.81, -5.27, Forward
1761456767817, -0.69, 7.75, -5.28, Forward
1761456767863, -0.48, 7.50, -5.17, Forward
1761456767911, -0.24, 7.22, -5.08, Forward
1761456767955, 0.04, 7.32, -5.13, Forward
1761456768001, 0.05, 7.11, -5.02, Forward
1761456768050, 0.54, 6.64, -4.88, Forward
1761456768117, 0.33, 6.18, -4.67, Forward
1761456768165, 0.25, 5.78, -4.46, Forward
1761456768211, 0.10, 5.26, -4.25, Forward
1761456768270, -0.38, 5.10, -4.25, Forward
1761456768334, -1.02, 4.82, -4.15, Forward
