Head Tracking Session: phase1_cycle1_1761479214725
Start Time: 2025-10-26T07:46:54.736480
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761479218734, 0.00, 0.00, 0.00, Forward
1761479218791, -0.40, -0.95, 0.31, Forward
1761479218839, -0.59, -0.62, 0.32, Forward
1761479218886, -0.61, -1.33, 0.46, Forward
1761479218932, -0.61, -1.70, 0.51, Forward
1761479218980, -0.74, -2.06, 0.56, Forward
1761479219033, -0.75, -1.67, 0.44, Forward
1761479219086, -0.76, -1.38, 0.35, Forward
1761479219149, -0.78, -1.50, 0.36, Forward
1761479219196, -0.77, -1.32, 0.31, Forward
1761479219241, -0.66, -1.21, 0.30, Forward
1761479219288, -0.50, -0.65, 0.19, Forward
1761479219334, -0.41, -0.13, 0.08, Forward
1761479219383, -0.27, 0.30, -0.03, Forward
1761479219429, -0.17, 0.74, -0.09, Forward
1761479219477, 0.05, 1.28, -0.17, Forward
1761479219521, 0.23, 1.68, -0.23, Forward
1761479219568, 0.30, 1.62, -0.21, Forward
1761479219624, 0.40, 2.21, -0.35, Forward
1761479219678, 0.48, 2.51, -0.43, Forward
1761479219722, 0.39, 2.61, -0.50, Forward
1761479219768, 0.31, 2.42, -0.53, Forward
1761479219815, 0.32, 2.08, -0.53, Forward
1761479219861, 0.28, 2.21, -0.60, Forward
1761479219911, 0.17, 2.30, -0.66, Forward
1761479219969, 0.03, 2.47, -0.79, Forward
1761479220016, -0.17, 1.97, -0.73, Forward
1761479220061, -0.21, 2.01, -0.79, Forward
1761479220109, -0.30, 1.81, -0.78, Forward
1761479220155, -0.36, 1.69, -0.78, Forward
1761479220200, -0.42, 1.76, -0.76, Forward
1761479220248, -0.48, 1.91, -0.77, Forward
1761479220296, -0.59, 1.90, -0.78, Forward
1761479220341, -0.75, 1.81, -0.77, Forward
1761479220387, -0.70, 2.16, -0.89, Forward
1761479220435, -0.67, 2.40, -0.93, Forward
1761479220481, -0.67, 2.99, -1.08, Forward
1761479220529, -0.70, 3.33, -1.16, Forward
1761479220579, -0.67, 3.64, -1.21, Forward
1761479220634, -0.72, 3.90, -1.27, Forward
1761479220685, -0.76, 4.19, -1.39, Forward
1761479220732, -0.78, 4.24, -1.42, Forward
1761479220776, -0.74, 4.45, -1.45, Forward
1761479220823, -0.66, 4.75, -1.50, Forward
1761479220870, -0.70, 4.75, -1.50, Forward
1761479220916, -0.67, 5.24, -1.63, Forward
1761479220967, -0.56, 5.57, -1.71, Forward
1761479221027, -0.57, 5.98, -1.78, Forward
1761479221072, -0.65, 6.44, -1.90, Forward
1761479221118, -0.71, 6.78, -2.02, Forward
1761479221167, -0.75, 6.45, -2.00, Forward
1761479221222, -0.82, 6.29, -2.04, Forward
1761479221275, -0.89, 6.13, -2.08, Forward
1761479221321, -0.96, 6.13, -2.15, Forward
1761479221370, -1.01, 6.00, -2.15, Forward
1761479221418, -1.21, 5.30, -2.00, Forward
1761479221464, -1.41, 4.77, -1.90, Forward
1761479221510, -1.43, 4.14, -1.73, Forward
1761479221561, -1.51, 3.51, -1.56, Forward
1761479221618, -1.56, 2.65, -1.31, Forward
1761479221665, -1.62, 2.45, -1.15, Forward
1761479221711, -1.64, 2.20, -0.99, Forward
1761479221757, -1.69, 2.16, -0.88, Forward
1761479221803, -1.78, 1.92, -0.74, Forward
1761479221851, -1.77, 1.75, -0.57, Forward
1761479221898, -1.77, 1.59, -0.46, Forward
1761479221945, -1.79, 1.47, -0.37, Forward
1761479221991, -1.87, 1.39, -0.39, Forward
1761479222037, -1.87, 1.40, -0.39, Forward
1761479222084, -1.75, 1.76, -0.41, Forward
1761479222131, -1.67, 2.01, -0.45, Forward
1761479222178, -1.57, 2.18, -0.45, Forward
1761479222234, -1.42, 2.11, -0.39, Forward
1761479222288, -1.28, 2.03, -0.34, Forward
1761479222333, -1.24, 1.83, -0.31, Forward
1761479222380, -1.12, 1.69, -0.25, Forward
1761479222428, -0.95, 1.63, -0.20, Forward
1761479222472, -0.77, 1.73, -0.15, Forward
1761479222520, -0.72, 1.65, -0.07, Forward
1761479222568, -0.78, 1.22, 0.03, Forward
1761479222628, -0.84, 0.79, 0.12, Forward
1761479222672, -0.95, 0.62, 0.20, Forward
1761479222719, -1.04, 0.64, 0.23, Forward
1761479222768, -1.10, 0.52, 0.26, Forward
1761479222813, -1.16, 0.48, 0.27, Forward
1761479222859, -1.26, 0.26, 0.33, Forward
1761479222905, -1.34, 0.25, 0.36, Forward
1761479222952, -1.41, 0.05, 0.42, Forward
1761479223000, -1.43, -0.15, 0.47, Forward
1761479223048, -1.43, -0.01, 0.47, Forward
1761479223094, -1.39, 0.07, 0.50, Forward
1761479223139, -1.33, 0.04, 0.52, Forward
1761479223187, -1.36, -0.00, 0.52, Forward
1761479223244, -1.45, -0.10, 0.58, Forward
1761479223298, -1.54, -0.22, 0.65, Forward
1761479223343, -1.59, -0.23, 0.68, Forward
1761479223390, -1.63, -0.32, 0.71, Forward
1761479223437, -1.71, -0.29, 0.72, Forward
